#####################################################################################################
# NeXus source file: GlassyC
# NXdata: name = img{0}_azimuthalIntegration_Px_34                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.7221899117023785e-06
# GlobalNormalization                               1.0287749320728268
# AbsTimeStamps                                     nan
# TimeStamps                                        1.370973825454712
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)glassyC_00203{00000}_AzInt_Px_34         Sig(q)glassyC_00203{00000}_AzInt_Px_34       
0.0                                nan                                          nan                                          
0.00014863910320409943             nan                                          nan                                          
0.0002972782062084175              nan                                          nan                                          
0.0004459173088131729              nan                                          nan                                          
0.0005945564108185842              nan                                          nan                                          
0.0007431955120248703              nan                                          nan                                          
0.0008918346122322496              nan                                          nan                                          
0.001040473711240941               nan                                          nan                                          
0.001189112808851163               14662.099935337546                           59.690871228012604                           
0.0013377519048631344              11928.346853550067                           21.97983043831333                            
0.001486390999077074               9796.050449326307                            14.88096555828783                            
0.0016350300912932002              7585.1523942556205                           11.274777897007814                           
0.0017836691813117322              6164.8265353632705                           10.438039286253174                           
0.0019323082689328885              5226.2352961667575                           8.979745966568437                            
0.0020809473539568878              4510.994550564569                            7.697685135336501                            
0.0022295864361839487              3909.9412354575375                           6.980357583812876                            
0.0023782255154142914              3427.2197498068576                           6.017511450915376                            
0.002526864591448133               3088.953602149075                            5.908759811160175                            
0.0026755036640856928              2833.439957799859                            5.146123610211514                            
0.00282414273312719                2609.280892635552                            4.91479775285715                             
0.002972781798372844               2424.200058994479                            4.586856026059215                            
0.0031214208596228726              2277.9329004085253                           4.277772434219157                            
0.003270059916677496               2153.8862775250277                           4.230175263364553                            
0.0034186989693369323              2037.8232012040485                           3.774989668491654                            
0.0035673380174014                 1936.0732601513578                           3.6928466685478885                           
0.0037159770606711206              1854.861594824355                            3.575906323094615                            
0.0038646160989463108              1791.8501463316454                           3.418988609250786                            
0.004013255132027191               1730.0920535118012                           3.337229601907522                            
0.00416189415971398                1674.6008127888342                           3.0674151846544944                           
