<X> <Y> <dY>
1.276810353053091e-02 9.036637651865525e+02 3.011185409716134e-01
1.291656935124349e-02 8.113378691759470e+02 2.869506822665925e-01
1.306503515463557e-02 7.266339936602935e+02 2.695095166056049e-01
1.321350094050805e-02 6.492556313131465e+02 2.510092252723060e-01
1.336196670866187e-02 5.772032935603577e+02 2.373221552899736e-01
1.351043245889793e-02 5.124756441509226e+02 2.213968252840309e-01
1.365889819101716e-02 4.532698767368553e+02 2.085910892111716e-01
1.380736390482048e-02 3.993457553012806e+02 1.928540321566173e-01
1.395582960010879e-02 3.510198110184098e+02 1.806508782205556e-01
1.410429527668303e-02 3.075602405390316e+02 1.689507403485593e-01
1.425276093434411e-02 2.695169920864837e+02 1.566603178396310e-01
1.440122657289295e-02 2.350184017064714e+02 1.450541306388352e-01
1.454969219213047e-02 2.048125586412513e+02 1.341754408398451e-01
1.469815779185758e-02 1.792835438852216e+02 1.264793279091842e-01
1.484662337187521e-02 1.573945104369289e+02 1.174283472753238e-01
1.499508893198428e-02 1.385996396448092e+02 1.092092326439787e-01
1.514355447198570e-02 1.228907539516401e+02 1.023386989594879e-01
1.529201999168039e-02 1.102732635276031e+02 9.648003688939386e-02
1.544048549086928e-02 1.001789274976844e+02 9.203129393693697e-02
1.558895096935328e-02 9.282304417145468e+01 8.748241203989238e-02
1.573741642693332e-02 8.737705312209980e+01 8.487730527839435e-02
1.588588186341031e-02 8.410444551790481e+01 8.257153175148489e-02
1.603434727858518e-02 8.285408818834807e+01 8.127685320828601e-02
1.618281267225884e-02 8.298146167427743e+01 8.233280555596123e-02
1.633127804423223e-02 8.455068385838986e+01 8.149615874917741e-02
1.647974339430625e-02 8.749173308839585e+01 8.277926703243527e-02
1.662820872228182e-02 9.165659512913507e+01 8.435475562491573e-02
1.677667402795988e-02 9.640110411361643e+01 8.600969899115933e-02
1.692513931114134e-02 1.021153893289322e+02 8.858611108092192e-02
1.707360457162713e-02 1.083602686411781e+02 8.971223056891547e-02
1.722206980921815e-02 1.152973199597507e+02 9.406242333555861e-02
1.737053502371535e-02 1.224751390370972e+02 9.491351157649994e-02
1.751900021491964e-02 1.298095100642762e+02 9.724450961158118e-02
1.766746538263194e-02 1.372229157142336e+02 1.006747093678430e-01
1.781593052665317e-02 1.449440978661070e+02 1.019916273791120e-01
1.796439564678426e-02 1.523288402126464e+02 1.053423596227202e-01
1.811286074282614e-02 1.594360300577871e+02 1.064672137338218e-01
1.826132581457971e-02 1.665830243110771e+02 1.082500168529291e-01
1.840979086184591e-02 1.736482431113806e+02 1.105217737448689e-01
1.855825588442566e-02 1.797917265483177e+02 1.113605219772077e-01
1.870672088211989e-02 1.860088534753698e+02 1.137872948720515e-01
1.885518585472951e-02 1.916326516292426e+02 1.164124762871547e-01
1.900365080205546e-02 1.966447002625899e+02 1.190382915048060e-01
1.915211572389865e-02 2.012475136702022e+02 1.205869046254135e-01
1.930058062006001e-02 2.052279708710838e+02 1.225250569772902e-01
1.944904549034047e-02 2.087037677877798e+02 1.263707712781117e-01
1.959751033454094e-02 2.119375847513729e+02 1.275296940448131e-01
1.974597515246237e-02 2.140345598512064e+02 1.307310753336656e-01
1.989443994390566e-02 2.160116997987375e+02 1.322300007430936e-01
2.004290470867175e-02 2.167650186146699e+02 1.325613075450640e-01
2.019136944656156e-02 2.170298571261642e+02 1.332530679292287e-01
2.033983415737602e-02 2.169545278600079e+02 1.341620081422092e-01
2.048829884091604e-02 2.165275451670525e+02 1.348742306078735e-01
2.063676349698258e-02 2.151566726511502e+02 1.339187488648036e-01
2.078522812537653e-02 2.136014292523619e+02 1.351391714538849e-01
2.093369272589884e-02 2.109817500281045e+02 1.344160307538325e-01
2.108215729835043e-02 2.084298724737964e+02 1.337083757745903e-01
2.123062184253223e-02 2.052269346276440e+02 1.337601643092718e-01
2.137908635824515e-02 2.015586636464172e+02 1.322345938026035e-01
2.152755084529015e-02 1.972252310094552e+02 1.312342622386094e-01
2.167601530346813e-02 1.926986453151928e+02 1.304715390425558e-01
2.182447973258003e-02 1.881437289406582e+02 1.298949550801458e-01
2.197294413242678e-02 1.830651557236676e+02 1.270629701611851e-01
2.212140850280929e-02 1.775068837840931e+02 1.236915095934789e-01
2.226987284352852e-02 1.720472694577757e+02 1.215775809008944e-01
2.241833715438537e-02 1.664219228536171e+02 1.175036186859634e-01
2.256680143518079e-02 1.604334402688346e+02 1.157318190543259e-01
2.271526568571569e-02 1.544340145766586e+02 1.117206979845163e-01
2.286372990579102e-02 1.479455445795230e+02 1.081231225349807e-01
2.301219409520770e-02 1.415538630971212e+02 1.067174303613503e-01
2.316065825376665e-02 1.353669571996044e+02 1.027399695256518e-01
2.330912238126882e-02 1.287550695822219e+02 1.013959016733463e-01
2.345758647751513e-02 1.223116431779459e+02 9.667288711516647e-02
2.360605054230651e-02 1.159533326331574e+02 9.536790461759509e-02
2.375451457544390e-02 1.096439527205551e+02 9.226194119126715e-02
2.390297857672821e-02 1.033312918880484e+02 8.797562267051333e-02
2.405144254596040e-02 9.727102552139382e+01 8.633515418190622e-02
