#####################################################################################################
# NeXus source file: 0V_00228
# NXdata: name = img{0}_azimuthalIntegration_Px_0                  
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           0V
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               284.2472127246412
# _sas_detc.center_eq                               697.8954865887755
# _sas_detc.dist_spec/detc                          6041.10400611
# _sas_detc.energy                                  16.000151483577387
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             0.7748938241444641
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\PhD Nika\Soleil Runs\April 2025\20250420\2025\Run2\paineau\\mask_hamon_6m_ex_apr25.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           8.61894197591152e-09
# GlobalNormalization                               0.002656891710795144
# AbsTimeStamps                                     nan
# TimeStamps                                        0.8205149173736572
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)0V_00228{00000}_AzInt_Px_0     Sig(q)0V_00228{00000}_AzInt_Px_0   
0.0                                nan                                nan                                
0.00020133191059891047             nan                                nan                                
0.0004026638209185376              nan                                nan                                
0.0006039957306795981              nan                                nan                                
0.0008053276396028085              nan                                nan                                
0.0010066595474088858              nan                                nan                                
0.0012079914538185462              nan                                nan                                
0.0014093233585525068              nan                                nan                                
0.0016106552613314841              690233.2906866668                  5698.572046639513                  
0.0018119871618761949              657778.8558844334                  3816.1776455732083                 
0.0020133190599073555              627294.6667385399                  3013.4376964658695                 
0.002214650955145684               601524.7888552007                  2294.5928408367986                 
0.0024159828473118952              586107.5703530355                  1950.238702021931                  
0.0026173147361267077              567039.9021606344                  1733.7670425274143                 
0.0028186466213108376              544395.6395719004                  1652.8741961407313                 
0.0030199785025850022              529860.0522601045                  1559.5050342813681                 
0.0032213103796699173              509521.89772678795                 1493.2940187256893                 
0.0034226422522863017              493053.5663620147                  1390.3513625743378                 
0.00362397412015487                474968.69104167895                 1337.0437847357996                 
0.0038253059829963403              455079.3517806791                  1283.3350074120199                 
0.0040266378405314305              439608.27524641715                 1210.0598777714008                 
0.004227969692480856               418711.65601511684                 1141.242671970063                  
0.004429301538565335               399357.21042263444                 1100.989285864982                  
0.004630633378505585               383335.6888973602                  1049.4630652391809                 
0.004831965212022323               363294.47936395893                 999.0386825623327                  
0.005033297038836266               345657.8704661628                  950.5066891414209                  
0.0052346288586681295              328028.60915128316                 898.3040437537701                  
0.005435960671238634               311077.9990928808                  871.9418194078247                  
0.005637292476268497               296392.22751581436                 829.8299946315344                  
0.005838624273478433               279010.2339239195                  792.9851837850618                  
0.006039956062589163               265043.3943085134                  748.6205508389211                  
0.006241287843321401               250220.31588037402                 719.3476945535618                  
0.006442619615395869               237269.1532273125                  692.9109855277178                  
0.00664395137853328                226280.07804121258                 671.2828463946778                  
0.0068452831324543545              213550.2604783753                  629.2385751984058                  
0.007046614876879811               202936.79882837232                 610.4031853011605                  
0.007247946611530366               193557.48590379985                 587.5936474259951                  
0.007449278336126739               184410.72848735785                 564.2586077005947                  
0.007650610050389646               174380.20242525204                 534.1928044152552                  
0.007851941754039806               167432.15719507862                 522.3081769183066                  
0.008053273446797939               159192.81577123355                 504.94165074712083                 
0.008254605128384763               152054.4827087438                  488.3232516399372                  
0.008455936798520995               146495.3981972177                  471.5194133654437                  
0.008657268456927353               139312.42887510065                 447.3605985166558                  
0.008858600103324558               133163.3622857086                  439.05523928575025                 
0.00905993173743333                127832.07271798872                 425.29725220771445                 
0.009261263358974382               123138.6586288066                  412.78723163101756                 
0.009462594967668438               118008.33336695797                 392.71149282479735                 
0.009663926563236216               113230.8814388997                  387.3796565337592                  
0.009865258145398433               109055.59983691033                 376.2171088983278                  
0.010066589713875813               104612.4592881948                  362.2802457517098                  
0.01026792126838907                100018.5077304843                  351.32079838247626                 
0.010469252808658926               95323.78135679185                  338.02546816574295                 
0.010670584334406102               91978.46091266353                  329.42864863395994                 
0.010871915845351316               86951.05995079935                  321.30794742755336                 
0.011073247341215288               83809.29476627696                  305.4931126383274                  
0.011274578821718739               80444.66465820147                  300.1875573406095                  
0.011475910286582389               76969.3166964125                   292.3295324434198                  
