#####################################################################################################
# NeXus source file: empty capillary
# NXdata: name = img{0}_azimuthalIntegration_Px_250                
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.00046066252769
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03316188591951
# _sas_detc.bias                                    0
# _sas_detc.mask                                    C:\Soleil data\\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.18352164306638e-06
# GlobalNormalization                               0.7053595400113251
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3721699714660645
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)empty_00034{00000}_AzInt_Px_250          Sig(q)empty_00034{00000}_AzInt_Px_250        
0.0                                nan                                          nan                                          
0.0001484665654979606              nan                                          nan                                          
0.000296933130796833               nan                                          nan                                          
0.00044539969569752896             nan                                          nan                                          
0.0005938662600009603              nan                                          nan                                          
0.0007423328235080391              nan                                          nan                                          
0.0008907993860196767              nan                                          nan                                          
0.0010392659473367853              15208.556574911758                           103.8302113959232                            
0.0011877325072602765              8781.05420432152                             35.28320834203662                            
0.001336199065591062               5727.521358736318                            17.672232971224968                           
0.0014846656221300543              4135.563381279966                            13.13175069791741                            
0.0016331321766781643              3283.940472530842                            9.37247853510031                             
0.0017815987290363052              2511.5587891045125                           7.835242331632606                            
0.0019300652790053877              1950.8657192576961                           6.523065972409973                            
0.002078531826386324               1547.418891815579                            5.444811552818609                            
0.0022269983709800266              1236.0576284566544                           4.866293188860354                            
0.0023754649125874066              1015.5314134748996                           4.022040645132377                            
0.002523931451009377               843.0635875777097                            3.727998460441936                            
0.002672397986046849               713.8914515059906                            3.181345826168585                            
0.0028208645175007347              601.2324473791583                            2.835718199342563                            
0.0029693310451719464              515.664822542409                             2.6138861611648716                           
0.0031177975688613966              446.2084856945116                            2.3153823706643326                           
0.0032662640883699967              392.7774198647846                            2.13642751602573                             
0.0034147306034986585              345.6372971207832                            1.9489929824957057                           
0.0035631971140482953              307.54043857786445                           1.7905089657616793                           
0.0037116636198198188              274.2127054562894                            1.6604625291935196                           
0.0038601301206141426              245.22831364016852                           1.502518418063952                            
0.004008596616232176               223.041721160245                             1.4471030187056881                           
0.004157063106474833               201.5994561616113                            1.336532631960297                            
0.004305529591143026               181.3581697953222                            1.237111409569403                            
0.004453996070037668               163.03755177767428                           1.1694869304339262                           
0.004602462542959671               149.0453012084954                            1.0716307013264357                           
0.004750929009709947               133.7151981249945                            1.0095523416585042                           
0.004899395470089409               121.94567844874003                           0.9440114920639938                           
0.00504786192389897                111.4168154620294                            0.895441482238752                            
0.005196328370939542               101.68268344556427                           0.8447783597679135                           
0.005344794811012039               93.69528285622053                            0.7878561980332505                           
0.005493261243917372               85.37159118750506                            0.7485568792979485                           
0.005641727669456453               77.70987841325818                            0.6997483187840285                           
0.005790194087430198               72.22245912408181                            0.6716116644086627                           
0.005938660497639517               65.82604490667603                            0.6248776171469561                           
0.006087126899885325               61.37888587655659                            0.6046667335334551                           
0.0062355932939685355              55.502553045479374                           0.5632817881915368                           
0.0063840596796900595              51.74125008232636                            0.5332166379777902                           
0.006532526056850811               48.88166271367109                            0.5133223978845551                           
0.006680992425251704               43.36081004556533                            0.48163814746815636                          
0.00682945878469365                41.4696193968404                             0.4692502714704964                           
0.006977925134977566               38.34332212653515                            0.4375028188871547                           
0.007126391475904361               35.36757990638728                            0.4216705714781411                           
0.007274857807274953               33.29725560718459                            0.3993498800103688                           
0.007423324128890251               30.455072011597444                           0.37874052827258864                          
0.007571790440551173               28.188999281641234                           0.36498451103338386                          
0.007720256742058629               27.004842052451572                           0.35029890226556976                          
0.007868723033213537               24.428410651429513                           0.3331697646358371                           
0.008017189313816805               23.104892160603914                           0.3184534846937456                           
0.00816565558366935                21.465307617910845                           0.30184962447260677                          
0.00831412184257209                20.410945724635347                           0.2939033233247511                           
0.008462588090325933               19.554769912809686                           0.2822487918275467                           
0.008611054326731796               17.779888800972934                           0.272282947006466                            
0.008759520551590594               17.151257372000224                           0.2606164784570615                           
0.008907986764703241               16.20534166516285                            0.2526232232968405                           
0.00905645296587065                15.45973054607556                            0.24437871564640187                          
0.009204919154893739               14.563526103501479                           0.2337129855409148                           
0.009353385331573419               14.001435102844642                           0.23131021872561405                          
0.009501851495710607               13.48297366523469                            0.2219588689999883                           
0.009650317647106216               13.207961600238363                           0.21855986472124544                          
0.009798783785561163               12.004331374666                              0.20678690112909195                          
0.00994724991087636                11.529418850214087                           0.20015628238715164                          
0.010095716022852728               11.148773706545649                           0.1977964501233177                           
0.010244182121291176               10.69827652507435                            0.18935744187027131                          
0.010392648205992623               10.105995763850414                           0.18625597303940114                          
0.010541114276757984               9.789197019608512                            0.1794446876626523                           
0.010689580333388175               9.24895657818349                             0.17243396300379107                          
0.010838046375684111               8.930028198568833                            0.17059941942383575                          
0.010986512403446705               8.731179076585724                            0.16512176118969413                          
0.01113497841647688                8.465111638393667                            0.1638545113222547                           
0.011283444414575544               7.926366119716902                            0.15595953278572788                          
0.011431910397543616               7.4070082944782225                           0.14915791187247227                          
0.011580376365182016               7.162429837356564                            0.1484142618463212                           
0.011728842317291656               7.281949137068345                            0.14604849263950961                          
0.011877308253673455               6.562458151661339                            0.13850274291914783                          
0.012025774174128331               6.543346229200178                            0.13703530707031114                          
0.012174240078457193               6.250491964750913                            0.13326093644598816                          
0.012322705966460968               6.167392618310595                            0.1330403531088382                           
0.012471171837940569               5.821433289835646                            0.1262252327328829                           
0.01261963769269691                5.836719321349685                            0.1270053022414856                           
0.012768103530530912               5.56658105899228                             0.12202603429125035                          
