<X> <Y> <dY>
9.947249910876360e-03 7.971307773671584e+02 3.122668699590500e-01
1.009571602285273e-02 7.455449514442422e+02 3.034851626221487e-01
1.024418212129118e-02 6.958732195350411e+02 2.865405785819711e-01
1.039264820599262e-02 6.478329146764839e+02 2.798000331135895e-01
1.054111427675798e-02 6.014937576702134e+02 2.639175294913656e-01
1.068958033338818e-02 5.579586523364324e+02 2.512887530637025e-01
1.083804637568411e-02 5.158429020117510e+02 2.432794733096035e-01
1.098651240344671e-02 4.765091599703921e+02 2.288753886284525e-01
1.113497841647688e-02 4.390521551538081e+02 2.214092283848448e-01
1.128344441457554e-02 4.031215489942888e+02 2.086836729406698e-01
1.143191039754362e-02 3.694271533569325e+02 1.976445711506339e-01
1.158037636518202e-02 3.375159283305078e+02 1.911561109883177e-01
1.172884231729166e-02 3.082962490838203e+02 1.783006730363129e-01
1.187730825367346e-02 2.799543794190823e+02 1.697322378758572e-01
1.202577417412833e-02 2.535608651377192e+02 1.600549989980847e-01
1.217424007845719e-02 2.289689115850617e+02 1.513315999645748e-01
1.232270596646097e-02 2.063090569723303e+02 1.443734521762519e-01
1.247117183794057e-02 1.850673945654696e+02 1.335339748584635e-01
1.261963769269691e-02 1.655042775443772e+02 1.268929993284044e-01
1.276810353053091e-02 1.472849247634173e+02 1.177695405980120e-01
1.291656935124349e-02 1.301119903620605e+02 1.113229784645014e-01
1.306503515463557e-02 1.152732396951590e+02 1.039920807567667e-01
1.321350094050805e-02 1.014543859732902e+02 9.612514394824920e-02
1.336196670866187e-02 8.871128020492789e+01 9.013284425130923e-02
1.351043245889793e-02 7.739251695937783e+01 8.334969762431747e-02
1.365889819101716e-02 6.706965195219114e+01 7.773204947162368e-02
1.380736390482048e-02 5.770309293617211e+01 7.101882822847964e-02
1.395582960010879e-02 4.965324661237272e+01 6.582151247309474e-02
1.410429527668303e-02 4.249920786095807e+01 6.084223932018679e-02
1.425276093434411e-02 3.609781449534410e+01 5.554259304938682e-02
1.440122657289295e-02 3.074088469721886e+01 5.082262777205303e-02
1.454969219213047e-02 2.588701385136617e+01 4.621207680372934e-02
1.469815779185758e-02 2.203586128559450e+01 4.295701733307839e-02
1.484662337187521e-02 1.872113528392235e+01 3.923412919848326e-02
1.499508893198428e-02 1.609190855411898e+01 3.604971636221121e-02
1.514355447198570e-02 1.391943915905642e+01 3.336652084257342e-02
1.529201999168039e-02 1.231065818698663e+01 3.122933616464613e-02
1.544048549086928e-02 1.126784621542185e+01 2.990112743056322e-02
