<X> <Y> <dY>
5.641727669456453e-03 3.231821597664578e+03 8.599784916126926e-01
5.790194087430198e-03 3.127397072563853e+03 8.422359174127165e-01
5.938660497639517e-03 3.026459020868350e+03 8.074648719552447e-01
6.087126899885325e-03 2.923226120222162e+03 7.952394785974413e-01
6.235593293968535e-03 2.826960386909510e+03 7.661066678714229e-01
6.384059679690060e-03 2.726835233278341e+03 7.376915913983348e-01
6.532526056850811e-03 2.630762685994946e+03 7.176591345308412e-01
6.680992425251704e-03 2.536613232248612e+03 7.020361271497227e-01
6.829458784693651e-03 2.443932102138208e+03 6.865058255211135e-01
6.977925134977566e-03 2.353716865421275e+03 6.532407175914524e-01
7.126391475904362e-03 2.264734594751286e+03 6.430421323283171e-01
7.274857807274953e-03 2.175669173325240e+03 6.151852563304439e-01
7.423324128890250e-03 2.090809555233781e+03 5.980387903909906e-01
7.571790440551172e-03 2.007179320285850e+03 5.869320743654669e-01
7.720256742058629e-03 1.924037324507998e+03 5.634882351731665e-01
7.868723033213537e-03 1.842865276080681e+03 5.514738459901628e-01
8.017189313816805e-03 1.763951305621396e+03 5.302705154178636e-01
8.165655583669350e-03 1.687589457399552e+03 5.100533853322031e-01
8.314121842572089e-03 1.610561623489812e+03 4.975328461315711e-01
8.462588090325933e-03 1.534353690652919e+03 4.764623941444136e-01
8.611054326731796e-03 1.463011249207733e+03 4.706953479365879e-01
8.759520551590594e-03 1.393409744829172e+03 4.476653317807011e-01
8.907986764703241e-03 1.325516444956227e+03 4.354084842454440e-01
9.056452965870650e-03 1.258669335304808e+03 4.202216220946937e-01
9.204919154893739e-03 1.194112082743696e+03 4.033037604965497e-01
9.353385331573419e-03 1.131422298525967e+03 3.962607537752093e-01
9.501851495710607e-03 1.070108927191982e+03 3.768372316336723e-01
9.650317647106216e-03 1.012309166230889e+03 3.646441496213057e-01
9.798783785561163e-03 9.553892417055904e+02 3.515639712701108e-01
9.947249910876360e-03 8.995118800074824e+02 3.369218063499858e-01
1.009571602285273e-02 8.476135140397930e+02 3.286730008501462e-01
1.024418212129118e-02 7.962815300170646e+02 3.113285439079856e-01
1.039264820599262e-02 7.465226083781735e+02 3.050719559964961e-01
1.054111427675798e-02 6.998038444719881e+02 2.891381409143833e-01
1.068958033338818e-02 6.541625301658960e+02 2.763626972345797e-01
1.083804637568411e-02 6.101963488941902e+02 2.687485236415063e-01
1.098651240344671e-02 5.686511264615814e+02 2.539516081089219e-01
1.113497841647688e-02 5.295466686163172e+02 2.469757592913993e-01
1.128344441457554e-02 4.914424501013893e+02 2.340298994452043e-01
1.143191039754362e-02 4.549245116681402e+02 2.227689712160487e-01
1.158037636518202e-02 4.205306258118165e+02 2.167227046105160e-01
1.172884231729166e-02 3.885070427281609e+02 2.032978835810299e-01
1.187730825367346e-02 3.574792971436303e+02 1.948097547315762e-01
1.202577417412833e-02 3.278017389533827e+02 1.848409979243322e-01
1.217424007845719e-02 3.000851160044120e+02 1.759657475712439e-01
1.232270596646097e-02 2.740466316600434e+02 1.690071101732203e-01
1.247117183794057e-02 2.497980542493729e+02 1.575744842216734e-01
1.261963769269691e-02 2.268503105021168e+02 1.508923727559637e-01
1.276810353053091e-02 2.051253864338568e+02 1.411653423905187e-01
1.291656935124349e-02 1.850782287445421e+02 1.348554094182660e-01
1.306503515463557e-02 1.665522320586348e+02 1.269625962143524e-01
1.321350094050805e-02 1.491362971687753e+02 1.183744066713845e-01
1.336196670866187e-02 1.329832346471793e+02 1.120873615299634e-01
1.351043245889793e-02 1.181737965022520e+02 1.046115614687185e-01
1.365889819101716e-02 1.045905478642734e+02 9.859340338174750e-02
1.380736390482048e-02 9.226989658770509e+01 9.121547427195541e-02
1.395582960010879e-02 8.093714090582387e+01 8.535569622624525e-02
1.410429527668303e-02 7.076438176778892e+01 7.974191814942076e-02
1.425276093434411e-02 6.143097932617616e+01 7.359426354693348e-02
1.440122657289295e-02 5.304663111627396e+01 6.780978802762723e-02
1.454969219213047e-02 4.556119510381858e+01 6.226967650419966e-02
1.469815779185758e-02 3.900335551879746e+01 5.804764931692023e-02
1.484662337187521e-02 3.312195464198469e+01 5.300544116922786e-02
1.499508893198428e-02 2.809361698368402e+01 4.838006528447469e-02
1.514355447198570e-02 2.367029895830885e+01 4.419432195443273e-02
1.529201999168039e-02 1.998980109908170e+01 4.041949656303433e-02
1.544048549086928e-02 1.683450970822604e+01 3.712204491904320e-02
1.558895096935328e-02 1.432901564312792e+01 3.382091399867851e-02
1.573741642693332e-02 1.229356795468826e+01 3.132681019401475e-02
1.588588186341031e-02 1.068498159751789e+01 2.895956745524686e-02
1.603434727858518e-02 9.617245949765383e+00 2.724705619621530e-02
1.618281267225884e-02 8.912736208001588e+00 2.655047023632217e-02
1.633127804423223e-02 8.532191197145739e+00 2.547376762577055e-02
1.647974339430625e-02 8.531402877568102e+00 2.543505077792871e-02
