<X> <Y> <dY>
8.017189313816805e-03 3.957094438935438e+03 7.525879951819165e-01
8.165655583669350e-03 3.778796169353573e+03 7.232257174928685e-01
8.314121842572089e-03 3.600775716999454e+03 7.049300347026053e-01
8.462588090325933e-03 3.429124518333480e+03 6.749512569459819e-01
8.611054326731796e-03 3.264056025605204e+03 6.662078884046591e-01
8.759520551590594e-03 3.102351795605604e+03 6.329573659215959e-01
8.907986764703241e-03 2.945796233527330e+03 6.150643758848388e-01
9.056452965870650e-03 2.792389847792494e+03 5.930966750829784e-01
9.204919154893739e-03 2.645430664014793e+03 5.688173201150510e-01
9.353385331573419e-03 2.502495711226601e+03 5.584319533659567e-01
9.501851495710607e-03 2.364112581030990e+03 5.307485097188294e-01
9.650317647106216e-03 2.232296778994665e+03 5.131017867000576e-01
9.798783785561163e-03 2.102449091018103e+03 4.941875815454879e-01
9.947249910876360e-03 1.978521792679507e+03 4.734901872197241e-01
1.009571602285273e-02 1.859996773861180e+03 4.613559059532791e-01
1.024418212129118e-02 1.745684988983907e+03 4.368008282939093e-01
1.039264820599262e-02 1.634298470229506e+03 4.277218006193590e-01
1.054111427675798e-02 1.528657475702472e+03 4.049367656730700e-01
1.068958033338818e-02 1.427549374580801e+03 3.868539669367852e-01
1.083804637568411e-02 1.330496094669260e+03 3.760390804821856e-01
1.098651240344671e-02 1.237400479125957e+03 3.549752310081920e-01
1.113497841647688e-02 1.150067613237097e+03 3.448885616947130e-01
1.128344441457554e-02 1.065733874769240e+03 3.265685008460387e-01
1.143191039754362e-02 9.857852216505109e+02 3.107356467491805e-01
1.158037636518202e-02 9.084735329903901e+02 3.018398886510871e-01
1.172884231729166e-02 8.385710737330561e+02 2.830207277800256e-01
1.187730825367346e-02 7.707687436661051e+02 2.710579780804147e-01
1.202577417412833e-02 7.058349703836416e+02 2.570154074010922e-01
1.217424007845719e-02 6.458492370576292e+02 2.446168570681267e-01
1.232270596646097e-02 5.894821777151807e+02 2.348783441002865e-01
1.247117183794057e-02 5.361901276690135e+02 2.187588696088779e-01
1.261963769269691e-02 4.861988658640886e+02 2.093242118550859e-01
1.276810353053091e-02 4.398423468262592e+02 1.958762562262246e-01
