<X> <Y> <dY>
3.117767147411878e-02 5.099092133259626e+00 1.786967452225473e-02
3.132613362894304e-02 5.424780464765904e+00 1.834550099544657e-02
3.147459574176209e-02 5.710010299738031e+00 1.877795113707106e-02
3.162305781237687e-02 6.073116157697077e+00 1.938828777992012e-02
3.177151984058834e-02 6.338028054818992e+00 1.967004161893738e-02
3.191998182619744e-02 6.664619760496286e+00 2.035788621243813e-02
3.206844376900511e-02 6.933715890457042e+00 2.045682163061251e-02
3.221690566881231e-02 7.195292998518051e+00 2.080381359833083e-02
3.236536752541998e-02 7.450649978940059e+00 2.133902124008648e-02
3.251382933862906e-02 7.638505828353120e+00 2.144708703193486e-02
3.266229110824052e-02 7.830793761514698e+00 2.188918758778999e-02
3.281075283405527e-02 8.030930469588936e+00 2.180708374425026e-02
3.295921451587431e-02 8.121195919423780e+00 2.200276364749832e-02
3.310767615349856e-02 8.246587200019526e+00 2.229703321603681e-02
3.325613774672897e-02 8.313985729679661e+00 2.215118348571854e-02
3.340459929536650e-02 8.388375415111287e+00 2.226239684125238e-02
3.355306079921208e-02 8.422752035444976e+00 2.224639843125947e-02
3.370152225806669e-02 8.418827182028723e+00 2.261842892501140e-02
3.384998367173125e-02 8.370252819789119e+00 2.268277905339408e-02
3.399844504000674e-02 8.384969934829654e+00 2.287485930212722e-02
3.414690636269409e-02 8.326350431599710e+00 2.294300270501145e-02
3.429536763959428e-02 8.228155451386398e+00 2.304082423367741e-02
3.444382887050824e-02 8.161473412022980e+00 2.279598888365303e-02
3.459229005523692e-02 8.023626927251675e+00 2.224669307136702e-02
3.474075119358127e-02 7.880229081972740e+00 2.184565882141885e-02
3.488921228534227e-02 7.724013709338778e+00 2.154253764105385e-02
3.503767333032085e-02 7.520435649855374e+00 2.122089713781083e-02
3.518613432831797e-02 7.318406249428911e+00 2.086371241146458e-02
3.533459527913459e-02 7.126884587520349e+00 2.046367582315209e-02
3.548305618257167e-02 6.886006570356457e+00 2.019295986614869e-02
3.563151703843015e-02 6.637298189632647e+00 1.966177541381305e-02
3.577997784651099e-02 6.384858387418691e+00 1.929479832638221e-02
3.592843860661515e-02 6.142095081759051e+00 1.882175355144814e-02
3.607689931854360e-02 5.873079221545914e+00 1.834549143183046e-02
3.622535998209726e-02 5.580637858143947e+00 1.796033567137599e-02
3.637382059707712e-02 5.309807942413425e+00 1.737831620527115e-02
3.652228116328413e-02 5.073692125586189e+00 1.706052445873877e-02
3.667074168051924e-02 4.756399947658121e+00 1.634347307140178e-02
3.681920214858341e-02 4.467993602440825e+00 1.582356677490777e-02
3.696766256727761e-02 4.177442565237687e+00 1.538968691584434e-02
3.711612293640280e-02 3.909714862139167e+00 1.473246746526202e-02
3.726458325575990e-02 3.626513479328880e+00 1.427838674838467e-02
3.741304352514992e-02 3.386182335551935e+00 1.378263092880165e-02
3.756150374437381e-02 3.112102102112889e+00 1.306269069508576e-02
3.770996391323252e-02 2.854150331747137e+00 1.254841331389807e-02
3.785842403152700e-02 2.625326440097024e+00 1.194861789727833e-02
3.800688409905824e-02 2.389050917443576e+00 1.152840174153046e-02
3.815534411562716e-02 2.148747721546370e+00 1.079881806120344e-02
3.830380408103477e-02 1.963196420173949e+00 1.032203877884565e-02
3.845226399508201e-02 1.760812370304814e+00 9.755679781924098e-03
3.860072385756984e-02 1.558664686155000e+00 9.141610440488914e-03
3.874918366829922e-02 1.373672176050792e+00 8.608009433430952e-03
3.889764342707114e-02 1.212296011781436e+00 8.017907923979587e-03
3.904610313368653e-02 1.070617151723281e+00 7.546109393666049e-03
3.919456278794636e-02 9.540973927917861e-01 7.077881624059116e-03
3.934302238965163e-02 8.290038689199012e-01 6.571742315725521e-03
3.949148193860327e-02 7.235698911319691e-01 6.145645987597363e-03
3.963994143460225e-02 6.495625326459591e-01 5.780572815997663e-03
3.978840087744954e-02 5.715478479224309e-01 5.427582107201524e-03
3.993686026694612e-02 5.098662799531595e-01 5.136295622435956e-03
4.008531960289294e-02 4.560429455028206e-01 4.848229670548990e-03
4.023377888509096e-02 4.314184804724880e-01 4.697385483914651e-03
4.038223811334118e-02 4.113803406869134e-01 4.554335989891642e-03
4.053069728744454e-02 4.032440846629465e-01 4.545778106264233e-03
4.067915640720204e-02 4.109094413749210e-01 4.584375747813801e-03
4.082761547241460e-02 4.153593740484306e-01 4.609133221314946e-03
4.097607448288322e-02 4.486382248055110e-01 4.771937056766981e-03
4.112453343840888e-02 4.850207699475181e-01 4.956939577710381e-03
4.127299233879253e-02 5.315842292572828e-01 5.177140899832103e-03
4.142145118383515e-02 5.828375887190869e-01 5.400581383913112e-03
4.156990997333770e-02 6.496698878132754e-01 5.723352914008855e-03
4.171836870710118e-02 7.213179725306452e-01 6.030698863136504e-03
4.186682738492653e-02 7.902794687575736e-01 6.282753331830562e-03
4.201528600661474e-02 8.729009397949707e-01 6.612316689898770e-03
4.216374457196678e-02 9.574757197172109e-01 6.880129193347117e-03
4.231220308078361e-02 1.043894774885571e+00 7.183914930014542e-03
4.246066153286622e-02 1.131879474557989e+00 7.432434376259375e-03
4.260911992801558e-02 1.236835990208237e+00 7.830585690564320e-03
4.275757826603267e-02 1.328400884363927e+00 8.119045410514260e-03
4.290603654671846e-02 1.422804988010534e+00 8.502127051268819e-03
4.305449476987392e-02 1.515230447171365e+00 8.854488727963178e-03
4.320295293530004e-02 1.622516537814779e+00 9.207407202322554e-03
4.335141104279778e-02 1.693217885405208e+00 9.547327268279688e-03
4.349986909216812e-02 1.789309494773524e+00 9.745833193123088e-03
4.364832708321206e-02 1.889663399121740e+00 1.013213418931683e-02
4.379678501573054e-02 1.993626602281459e+00 1.042840654393142e-02
4.394524288952457e-02 2.035097300504093e+00 1.045635195778252e-02
4.409370070439510e-02 2.118824565374282e+00 1.081751231230938e-02
4.424215846014314e-02 2.192774761246863e+00 1.088684964565462e-02
4.439061615656966e-02 2.276956623319573e+00 1.116772587155248e-02
4.453907379347562e-02 2.311047202611054e+00 1.125680591640103e-02
4.468753137066204e-02 2.379608523067797e+00 1.139913425089983e-02
4.483598888792985e-02 2.389740212471626e+00 1.144097567262940e-02
4.498444634508008e-02 2.430361112885809e+00 1.148481261948012e-02
4.513290374191368e-02 2.486107468452766e+00 1.178501483416602e-02
4.528136107823164e-02 2.490053810967974e+00 1.171481997797395e-02
4.542981835383494e-02 2.515550989332672e+00 1.179295534373260e-02
4.557827556852459e-02 2.538079876478426e+00 1.192007248323124e-02
4.572673272210154e-02 2.538207029745690e+00 1.183367956119010e-02
4.587518981436679e-02 2.535355706811274e+00 1.198311161276815e-02
4.602364684512131e-02 2.509063141824970e+00 1.182074675846805e-02
4.617210381416612e-02 2.503479329526723e+00 1.187603979466944e-02
4.632056072130217e-02 2.475054959092370e+00 1.181467685251202e-02
4.646901756633046e-02 2.436052844294612e+00 1.173364530451805e-02
4.661747434905197e-02 2.416639085293058e+00 1.176819875688915e-02
4.676593106926771e-02 2.365807594821678e+00 1.153270639337363e-02
4.691438772677863e-02 2.318189618692124e+00 1.147674877551020e-02
4.706284432138574e-02 2.272374678751563e+00 1.136883894146214e-02
4.721130085289003e-02 2.206778348031499e+00 1.112662923396588e-02
4.735975732109249e-02 2.135672155525151e+00 1.098645628765214e-02
4.750821372579410e-02 2.070180881586304e+00 1.073728517052223e-02
4.765667006679587e-02 2.007083532502492e+00 1.058900054632203e-02
4.780512634389875e-02 1.930499139899990e+00 1.041233803684785e-02
4.795358255690377e-02 1.845144598496207e+00 1.001215083321422e-02
4.810203870561192e-02 1.768159253597680e+00 9.943998465600085e-03
4.825049478982417e-02 1.696080162749609e+00 9.678464612430951e-03
4.839895080934152e-02 1.602641560847555e+00 9.417857590591043e-03
4.854740676396496e-02 1.533763925090660e+00 9.161086205279395e-03
4.869586265349549e-02 1.460594119906419e+00 8.926162896576379e-03
4.884431847773410e-02 1.356248174646496e+00 8.672720154697670e-03
