<X> <Y> <dY>
9.501851495710607e-03 2.705738230190217e-01 5.729719301584125e-03
9.650317647106216e-03 2.577248771054250e-01 5.563415323771422e-03
9.798783785561163e-03 2.439036672883138e-01 5.371233095337271e-03
9.947249910876360e-03 2.320409851320564e-01 5.174384118904662e-03
1.009571602285273e-02 2.398152798888634e-01 5.286328722706905e-03
1.024418212129118e-02 2.074523884537002e-01 4.805023160454344e-03
1.039264820599262e-02 2.019884881405681e-01 4.798381342796614e-03
1.054111427675798e-02 1.970481085454587e-01 4.639316523543359e-03
1.068958033338818e-02 1.929001769457259e-01 4.537885669026215e-03
1.083804637568411e-02 1.876605372852979e-01 4.506593737308993e-03
1.098651240344671e-02 1.802217056237574e-01 4.322969878669648e-03
1.113497841647688e-02 1.715642497036494e-01 4.250756750333657e-03
1.128344441457554e-02 1.659940042636302e-01 4.112745722709451e-03
1.143191039754362e-02 1.696585172626763e-01 4.113613744180878e-03
1.158037636518202e-02 1.542017967977039e-01 3.968267686812335e-03
1.172884231729166e-02 1.504729465433574e-01 3.825720767816599e-03
1.187730825367346e-02 1.473477701638988e-01 3.781879457981050e-03
1.202577417412833e-02 1.395171915228912e-01 3.646340212736398e-03
1.217424007845719e-02 1.380249000525755e-01 3.608571196422058e-03
1.232270596646097e-02 1.378971552799522e-01 3.625108766502398e-03
1.247117183794057e-02 1.315081175257411e-01 3.457150575303418e-03
1.261963769269691e-02 1.244389046784284e-01 3.379296783854295e-03
1.276810353053091e-02 1.271094050285161e-01 3.360143840585151e-03
1.291656935124349e-02 1.138306764760274e-01 3.197945140729842e-03
1.306503515463557e-02 1.224724807075795e-01 3.292080676581122e-03
1.321350094050805e-02 1.151167090284282e-01 3.144748844767816e-03
1.336196670866187e-02 1.142819223165811e-01 3.141938029189810e-03
1.351043245889793e-02 1.093961372409918e-01 3.043481951058087e-03
1.365889819101716e-02 1.083464675386640e-01 3.034308013383570e-03
1.380736390482048e-02 1.028122239215570e-01 2.911464685348386e-03
1.395582960010879e-02 1.039493558768414e-01 2.924961319923476e-03
1.410429527668303e-02 9.965996563521125e-02 2.861477482069132e-03
1.425276093434411e-02 9.995935989380539e-02 2.838655069772410e-03
1.440122657289295e-02 9.994092042910403e-02 2.814399866898480e-03
1.454969219213047e-02 9.010895718712525e-02 2.647973801806360e-03
1.469815779185758e-02 9.684095551391834e-02 2.765755793628713e-03
1.484662337187521e-02 9.082034278195186e-02 2.654023042802394e-03
1.499508893198428e-02 8.615671675680620e-02 2.561874424696806e-03
1.514355447198570e-02 8.638453236304873e-02 2.552896707592274e-03
1.529201999168039e-02 8.541238521889881e-02 2.526374533624884e-03
1.544048549086928e-02 8.457520274710148e-02 2.515960542431804e-03
1.558895096935328e-02 8.313412691274427e-02 2.463300971207848e-03
1.573741642693332e-02 7.919275216385922e-02 2.404199857370648e-03
1.588588186341031e-02 7.872601769496343e-02 2.376922215379604e-03
1.603434727858518e-02 7.940397926724439e-02 2.367369271007232e-03
1.618281267225884e-02 7.622111285279619e-02 2.347766924101258e-03
1.633127804423223e-02 7.843974605706412e-02 2.335509451595088e-03
1.647974339430625e-02 7.633669944846336e-02 2.300592602779684e-03
1.662820872228182e-02 7.683642542760342e-02 2.297980032424148e-03
1.677667402795988e-02 7.275657457140770e-02 2.223194751951014e-03
1.692513931114134e-02 7.449448474597845e-02 2.251215452034383e-03
1.707360457162713e-02 7.298374446727748e-02 2.190607911937281e-03
1.722206980921815e-02 7.309628601189411e-02 2.228379607979935e-03
1.737053502371535e-02 6.517966817102869e-02 2.060132276793780e-03
1.751900021491964e-02 6.868204280237163e-02 2.104594349081266e-03
1.766746538263194e-02 6.564743541463479e-02 2.071814690572100e-03
1.781593052665317e-02 6.829782874863008e-02 2.083064248197430e-03
1.796439564678426e-02 6.971393038380191e-02 2.120345932355432e-03
1.811286074282614e-02 6.809927554549938e-02 2.070278926491973e-03
1.826132581457971e-02 6.513685910230010e-02 2.014006977368263e-03
1.840979086184591e-02 6.308188608075940e-02 1.981983100425199e-03
1.855825588442566e-02 6.283159916035004e-02 1.958711286989306e-03
1.870672088211989e-02 6.673479214031372e-02 2.027860537185466e-03
1.885518585472951e-02 6.598421928596010e-02 2.032449563566538e-03
1.900365080205546e-02 6.181371230500748e-02 1.985742532269638e-03
1.915211572389865e-02 6.223755699448356e-02 1.995244474878707e-03
1.930058062006001e-02 6.300805028051590e-02 2.019945355602920e-03
1.944904549034047e-02 6.245451345903100e-02 2.056829861610870e-03
1.959751033454094e-02 6.453691267549264e-02 2.093853937922068e-03
1.974597515246237e-02 6.397234459738360e-02 2.126512688317690e-03
1.989443994390566e-02 6.656843792338120e-02 2.184039602555735e-03
2.004290470867175e-02 6.078517858727946e-02 2.088603453773895e-03
2.019136944656156e-02 5.584177991693805e-02 2.011092579877947e-03
2.033983415737602e-02 6.059185608707916e-02 2.109537655528744e-03
2.048829884091604e-02 5.823398309538366e-02 2.081112774336436e-03
2.063676349698258e-02 5.866309896397480e-02 2.080565712878691e-03
2.078522812537653e-02 5.790148608173944e-02 2.093432647348715e-03
2.093369272589884e-02 5.852541057959663e-02 2.106375617711397e-03
2.108215729835043e-02 5.755676748051988e-02 2.090555935582128e-03
2.123062184253223e-02 5.850033595048353e-02 2.124827885725581e-03
2.137908635824515e-02 5.521887022914607e-02 2.059316368931226e-03
2.152755084529015e-02 5.851912179629107e-02 2.126913658748051e-03
2.167601530346813e-02 5.513304152101717e-02 2.076430470735505e-03
2.182447973258003e-02 5.477896687246222e-02 2.085399628616836e-03
2.197294413242678e-02 5.675925064364682e-02 2.105084084036613e-03
2.212140850280929e-02 5.798933092691679e-02 2.103494117362406e-03
2.226987284352852e-02 5.164150744036084e-02 1.981819165014091e-03
2.241833715438537e-02 5.545092877447268e-02 2.018065922810779e-03
2.256680143518079e-02 5.720336126201699e-02 2.056132360480478e-03
2.271526568571569e-02 5.730951870128224e-02 2.024932277584800e-03
2.286372990579102e-02 5.582234609501524e-02 1.976089631068039e-03
2.301219409520770e-02 5.348830742520740e-02 1.951816058712653e-03
2.316065825376665e-02 5.460251004695005e-02 1.941441754275179e-03
2.330912238126882e-02 5.379365430325002e-02 1.950018445041498e-03
2.345758647751513e-02 5.688627528390156e-02 1.961595699444882e-03
2.360605054230651e-02 5.145284336999133e-02 1.890167430715098e-03
2.375451457544390e-02 5.120197233192299e-02 1.875895122595753e-03
2.390297857672821e-02 5.477000903407930e-02 1.905692342586328e-03
2.405144254596040e-02 5.264092234851026e-02 1.889698983863788e-03
2.419990648294138e-02 5.347995495286995e-02 1.888442860165743e-03
2.434837038747209e-02 5.110217109703664e-02 1.851236336132939e-03
2.449683425935346e-02 5.174622117318346e-02 1.857581083446250e-03
2.464529809838643e-02 5.452874022808787e-02 1.871421519898216e-03
2.479376190437193e-02 5.393708643567090e-02 1.895156038778811e-03
2.494222567711088e-02 5.179273533363801e-02 1.828865064218120e-03
2.509068941640423e-02 5.188505896314882e-02 1.848328694786551e-03
2.523915312205290e-02 5.408877993232172e-02 1.865130342493852e-03
2.538761679385784e-02 5.457260166623986e-02 1.869626526381134e-03
2.553608043161997e-02 5.185083143151210e-02 1.828637831442013e-03
2.568454403514022e-02 4.777737695028423e-02 1.742261670661228e-03
2.583300760421955e-02 5.342834802531132e-02 1.851182540425373e-03
2.598147113865888e-02 4.782978825562186e-02 1.730421007914084e-03
2.612993463825913e-02 5.263205166340715e-02 1.822498897934671e-03
2.627839810282126e-02 4.973980250682589e-02 1.775289678853747e-03
2.642686153214619e-02 4.800532329937020e-02 1.722181380303154e-03
2.657532492603487e-02 5.188504800971432e-02 1.788076836470945e-03
2.672378828428821e-02 5.205040555362087e-02 1.787418265150835e-03
2.687225160670718e-02 5.044138385709097e-02 1.772329570213964e-03
2.702071489309268e-02 5.016374114185079e-02 1.759319212143504e-03
2.716917814324569e-02 4.943561008728883e-02 1.728475572653465e-03
2.731764135696711e-02 4.941416644688782e-02 1.742703283230969e-03
2.746610453405790e-02 4.997583648905637e-02 1.736780377087961e-03
2.761456767431899e-02 4.851805101759077e-02 1.705803833272990e-03
2.776303077755132e-02 4.997958879349723e-02 1.737960588858250e-03
2.791149384355582e-02 4.743539071532291e-02 1.679194628951310e-03
2.805995687213344e-02 4.809569835463578e-02 1.696204498804997e-03
2.820841986308512e-02 4.803346792768460e-02 1.692957293896218e-03
2.835688281621178e-02 4.872653884676521e-02 1.693364282777090e-03
2.850534573131439e-02 4.960928298526369e-02 1.708634466985212e-03
2.865380860819386e-02 4.684400676533240e-02 1.658259864053267e-03
2.880227144665114e-02 4.895963230563066e-02 1.696350717542167e-03
2.895073424648718e-02 4.654987067271565e-02 1.654077628947333e-03
2.909919700750293e-02 4.610521248166676e-02 1.624995219478736e-03
2.924765972949930e-02 4.661504814669757e-02 1.643985992165530e-03
2.939612241227725e-02 4.639161294098400e-02 1.630035124693911e-03
2.954458505563771e-02 4.730884644403309e-02 1.649082720052596e-03
2.969304765938165e-02 4.559881814600714e-02 1.611155018852104e-03
2.984151022330999e-02 5.020995258677648e-02 1.690657045579271e-03
2.998997274722367e-02 4.490784618817401e-02 1.601809826153277e-03
3.013843523092363e-02 4.594591235667555e-02 1.613379196568567e-03
3.028689767421083e-02 4.558178567001926e-02 1.589847344914242e-03
3.043536007688621e-02 4.843543301556938e-02 1.654522874113105e-03
3.058382243875071e-02 4.646252098406708e-02 1.613710054552148e-03
3.073228475960527e-02 4.558007033023513e-02 1.590755422821660e-03
3.088074703925083e-02 4.556940567425490e-02 1.596226660068255e-03
3.102920927748836e-02 4.625793769361610e-02 1.591321433567315e-03
3.117767147411878e-02 4.630459283222407e-02 1.600520867039235e-03
3.132613362894304e-02 4.548972001331586e-02 1.578971232441984e-03
3.147459574176209e-02 4.746100784987953e-02 1.609078863403205e-03
3.162305781237687e-02 4.675107781944270e-02 1.598853125979887e-03
3.177151984058834e-02 4.745666976622797e-02 1.599764011467720e-03
3.191998182619744e-02 4.427751273879599e-02 1.559608867400174e-03
3.206844376900511e-02 4.574627626618680e-02 1.561752121146235e-03
3.221690566881231e-02 4.426297616262028e-02 1.533621227081346e-03
3.236536752541998e-02 4.815904548093256e-02 1.612484109017026e-03
3.251382933862906e-02 4.489819136928602e-02 1.545459481757698e-03
3.266229110824052e-02 4.724143909210429e-02 1.597965514120043e-03
3.281075283405527e-02 4.535306062112884e-02 1.540270691657774e-03
3.295921451587431e-02 4.571012309169478e-02 1.551502673216378e-03
3.310767615349856e-02 4.441648051179103e-02 1.538016935014457e-03
3.325613774672897e-02 4.619303551644637e-02 1.551885378577756e-03
3.340459929536650e-02 4.697498790318921e-02 1.565832930106307e-03
3.355306079921208e-02 4.609316805143199e-02 1.546785442085810e-03
3.370152225806669e-02 4.396583891740311e-02 1.536290742362403e-03
3.384998367173125e-02 4.512457857143654e-02 1.565354287318117e-03
3.399844504000674e-02 4.669355603703884e-02 1.604409572769656e-03
3.414690636269409e-02 4.333768762679888e-02 1.555732320364363e-03
3.429536763959428e-02 4.434363766234919e-02 1.589796433723785e-03
3.444382887050824e-02 4.668577594035715e-02 1.620486939741066e-03
3.459229005523692e-02 4.860525651106119e-02 1.627424359351419e-03
3.474075119358127e-02 4.638405726328863e-02 1.575285173356866e-03
3.488921228534227e-02 4.373570008956507e-02 1.523605307777842e-03
3.503767333032085e-02 4.581002820364210e-02 1.556688127441827e-03
3.518613432831797e-02 4.618635856236966e-02 1.557827210218200e-03
3.533459527913459e-02 4.427665321047800e-02 1.516003731788261e-03
3.548305618257167e-02 4.315634597964330e-02 1.502511109549882e-03
3.563151703843015e-02 4.584479372056915e-02 1.535858377397669e-03
3.577997784651099e-02 4.537987678971714e-02 1.528886895420875e-03
3.592843860661515e-02 4.616257366547379e-02 1.533648784887413e-03
3.607689931854360e-02 4.905404261532747e-02 1.575842886128231e-03
3.622535998209726e-02 4.386280563470463e-02 1.496579615320117e-03
3.637382059707712e-02 3.954298918082751e-02 1.409555335254670e-03
3.652228116328413e-02 4.490064223548724e-02 1.508466577157388e-03
3.667074168051924e-02 4.360711941368954e-02 1.470831632897506e-03
3.681920214858341e-02 4.613922804506602e-02 1.511340665034924e-03
3.696766256727761e-02 4.387441856935872e-02 1.482379229143010e-03
3.711612293640280e-02 4.575575501592565e-02 1.497976168491722e-03
3.726458325575990e-02 4.514306639757044e-02 1.497300998190049e-03
3.741304352514992e-02 4.118253949659742e-02 1.428606466907869e-03
3.756150374437381e-02 4.625652546314606e-02 1.496826012938057e-03
3.770996391323252e-02 4.625143204926303e-02 1.501385017971489e-03
