#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_22                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3550127803547397e-06
# GlobalNormalization                               31.483329301987705
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3956758975982666
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)ctac1mm_00191{00000}_AzInt_Px_22         Sig(q)ctac1mm_00191{00000}_AzInt_Px_22       
0.0                                nan                                          nan                                          
0.00014863910320409943             nan                                          nan                                          
0.0002972782062084175              nan                                          nan                                          
0.0004459173088131729              nan                                          nan                                          
0.0005945564108185842              nan                                          nan                                          
0.0007431955120248703              nan                                          nan                                          
0.0008918346122322496              nan                                          nan                                          
0.001040473711240941               nan                                          nan                                          
0.001189112808851163               243.4383722892269                            1.3903502156808558                           
0.0013377519048631344              181.57759069083343                           0.49021341696961435                          
0.001486390999077074               146.41784860389595                           0.3288686505886298                           
0.0016350300912932002              102.60603729682101                           0.2370457419049733                           
0.0017836691813117322              76.631041404734                              0.2103685052389222                           
0.0019323082689328885              59.45853586416792                            0.17313965091417927                          
0.0020809473539568878              45.7736965293544                             0.14016895814526764                          
0.0022295864361839487              35.71569365690884                            0.12059851527178012                          
0.0023782255154142914              28.615910060302134                           0.09939615651045014                          
0.002526864591448133               23.359729330368243                           0.09288474813137967                          
0.0026755036640856928              19.463297632539792                           0.07709944989876971                          
0.00282414273312719                16.244429931669682                           0.07009988933131812                          
0.002972781798372844               13.582022791106905                           0.06206302905317892                          
0.0031214208596228726              11.672980132691233                           0.05535513928303064                          
0.003270059916677496               10.138051873160578                           0.05246190925049246                          
0.0034186989693369323              8.683142360165274                            0.04454416655932657                          
0.0035673380174014                 7.558639527364559                            0.04171017961572526                          
0.0037159770606711206              6.674705830552888                            0.03877629443276446                          
0.0038646160989463108              5.828378367617266                            0.035248491871596545                         
0.004013255132027191               5.249917332233247                            0.033231318636426276                         
0.00416189415971398                4.678137405610549                            0.029307128050077944                         
