#####################################################################################################
# NeXus source file: noemi7
# NXdata: name = img{0}_azimuthalIntegration_Px_3                  
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000505731836514
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331580057586949
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.644752941487714e-06
# GlobalNormalization                               38.21535798630188
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3662910461425781
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)Li34_00204{00000}_AzInt_Px_3   Sig(q)Li34_00204{00000}_AzInt_Px_3 
0.0                                nan                                nan                                
0.0001486390049044326              nan                                nan                                
0.00029727800960908403             nan                                nan                                
0.000445917013914173               nan                                nan                                
0.0005945560176199183              nan                                nan                                
0.0007431950205265388              nan                                nan                                
0.0008918340224342532              nan                                nan                                
0.0010404730231432808              nan                                nan                                
0.0011891120224538396              54266.50378809246                  18.841564953251915                 
0.001337751020166149               90632.97063168642                  9.940735908503486                  
0.0014863900160804278              131544.04879213832                 8.947102813928314                  
0.0016350290099968942              163896.46165792923                 8.599077231210506                  
0.0017836680017157683              183493.77370133394                 9.343517069722774                  
0.001932306991037268               191268.02906649475                 8.913165762288285                  
0.0020809459777616124              188289.44964371852                 8.159775406007038                  
0.0022295849616890207              175288.87527797796                 7.668509387045729                  
0.0023782239426197124              158921.6640757583                  6.723241662749169                  
0.0025268629203539046              139250.83034530157                 6.509247144704225                  
0.0026755018946918183              118703.65683027041                 5.46507940438692                   
0.002824140865433671               99009.36179180499                  4.967347982632297                  
0.0029727798323796835              81032.28149088443                  4.351120729935825                  
0.003121418795330073               65986.08012643839                  3.7775880818969694                 
0.0032700577540850603              53406.04802995778                  3.456077066525248                  
0.0034186967084448633              42958.92051999334                  2.84380894928526                   
0.0035673356582097003              34683.80045631067                  2.5645132203118615                 
0.003715974603179794               28777.293138002133                 2.310982035700691                  
0.00386461354315536                24433.57548505665                  2.071483809466621                  
0.00401325247793662                21064.261155983826                 1.9105825961058698                 
0.004161891407323792               18522.4929680403                   1.6738165364508273                 
0.004310530331117095               16606.17396848905                  1.6082788411844022                 
0.00445916924911675                15152.220496253547                 1.5138968949472495                 
0.004607808161122976               13908.486172563145                 1.4180183959145405                 
0.004756447066935991               12777.705956858335                 1.3554140528051057                 
0.004905085966356017               11727.803154815685                 1.2295368823816144                 
0.00505372485918327                10805.333234678401                 1.2135277921021848                 
0.005202363745217974               9897.729066371892                  1.1053024242282115                 
0.005351002624260346               9032.190820275915                  1.0608847114755253                 
0.005499641496110608               8211.998032564154                  0.9928358984594106                 
0.005648280360568975               7481.257097468783                  0.9266189577815399                 
0.005796919217435672               6813.942684889354                  0.9023156927132632                 
0.0059455580665109175              6169.158804580713                  0.8068048118516208                 
0.00609419690759493                5582.010925498497                  0.7721357483122081                 
0.006242835740487932               5064.44051098514                   0.7324848347038223                 
0.00639147456499014                4605.847863952755                  0.6915696370564255                 
0.006540113380901778               4204.800954389631                  0.6517848320369193                 
0.006688752188023065               3837.6290013903026                 0.598871858869308                  
0.0068373909861542195              3512.737239728099                  0.5889539529811488                 
0.006986029775095464               3222.53646423012                   0.5449055280134519                 
0.0071346685546470195              2967.948467690511                  0.5211066839218176                 
0.007283307324609103               2738.441099255773                  0.4962342188683121                 
0.00743194608478194                2535.899023112426                  0.465679141109381                  
0.007580584834965747               2348.344208369948                  0.4571816089675863                 
0.007729223574960747               2184.664475027659                  0.4220087124333741                 
0.007877862304567157               2035.0529766942866                 0.41051203963969485                
0.008026501023585205               1894.5327551377966                 0.3899634108990129                 
0.008175139731815108               1771.577410541873                  0.3725533355059565                 
0.008323778429057087               1658.8375139992756                 0.36716022922455666                
0.00847241711511136                1551.0305229772928                 0.3386025366099157                 
0.008621055789778157               1452.876728563432                  0.328643267939886                  
0.00876969445285769                1360.673593618025                  0.31625229841243624                
0.008918333104150186               1276.7318194425238                 0.30548512090436764                
0.009066971743455865               1199.32748853837                   0.29282631961233035                
0.009215610370574947               1128.559555047864                  0.2773182242960766                 
0.009364248985307655               1062.1241153858705                 0.27444559078296693                
0.009512887587454211               1000.8384247287376                 0.25880665370610345                
0.00966152617681484                943.5071826153999                  0.2506445040127003                 
0.009810164753189759               889.0003980823376                  0.24237357359299885                
0.00995880331637919                839.9664751982899                  0.22931092322712998                
0.010107441866183361               793.9313282430574                  0.23109928542893712                
0.010256080402402487               750.9511095705092                  0.21327793074568852                
0.010404718924836796               710.6567476120464                  0.2109229264848308                 
0.010553357433286508               672.551462648188                   0.20022233202205608                
0.010701995927551847               638.3128826674089                  0.19528181015749257                
0.010850634407433035               605.6554879543221                  0.19220569567501877                
0.01099927287273029                574.9943361891332                  0.18164835172989505                
0.011147911323243845               546.6622323213765                  0.17789856552784358                
0.011296549758773915               520.1788306042766                  0.1707261530188652                 
0.011445188179120724               495.50275567663437                 0.16680622971760806                
0.0115938265840845                 471.47672014216096                 0.16236387883646813                
0.011742464973465466               449.1837334495586                  0.15472251364608156                
0.011891103347063838               428.67248375717566                 0.1538352678225898                 
0.012039741704679847               408.76180484744907                 0.14699916405760302                
0.012188380046113712               389.7083520708284                  0.14210406776405793                
0.012337018371165662               372.23067361189527                 0.139295342280277                  
0.01248565667963592                356.1780000579345                  0.1343974725316812                 
0.012634294971324705               340.70608702066613                 0.13286992717326193                
0.012782933246032245               325.82503851352226                 0.12659567957188436                
0.012931571503558769               312.3552231374342                  0.12477490307151386                
0.013080209743704493               299.4151561511907                  0.11990055120032383                
0.013228847966269644               286.7672300170842                  0.11810171329327501                
0.013377486171054451               274.9557648696404                  0.11511027991925706                
0.013526124357859137               263.8445153295687                  0.11093670177770865                
0.013674762526483924               253.62134912054924                 0.10886331915114948                
0.013823400676729044               243.52723593983907                 0.1054579137458884                 
0.013972038808394713               234.36731866535249                 0.1045562138154322                 
0.014120676921281166               225.121630525165                   0.1002634385472981                 
0.014269315015188622               216.5033902988682                  0.09749717855614756                
0.014417953089917307               208.38076385641932                 0.09679438953158852                
0.014566591145267453               200.67602135388208                 0.09355241830669458                
