#####################################################################################################
# NeXus source file: Noemi1
# NXdata: name = img{0}_azimuthalIntegration_Px_252                
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.00046066252769
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03316188591951
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           7.547588061524116e-07
# GlobalNormalization                               0.4498239026265973
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3561580181121826
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)ctac_00036{00000}_AzInt_Px_252           Sig(q)ctac_00036{00000}_AzInt_Px_252         
0.0                                nan                                          nan                                          
0.0001484665654979606              nan                                          nan                                          
0.000296933130796833               nan                                          nan                                          
0.00044539969569752896             nan                                          nan                                          
0.0005938662600009603              nan                                          nan                                          
0.0007423328235080391              nan                                          nan                                          
0.0008907993860196767              nan                                          nan                                          
0.0010392659473367853              16183.000228246658                           134.1199142955093                            
0.0011877325072602765              15289.317338036873                           58.30056924765969                            
0.001336199065591062               7341.505943178553                            25.05443736878866                            
0.0014846656221300543              5174.6398203499375                           18.394134570096615                           
0.0016331321766781643              4415.900448509437                            13.609759826006115                           
0.0017815987290363052              2859.318531622055                            10.468779104229554                           
0.0019300652790053877              2274.01843449749                             8.818994675943658                            
0.002078531826386324               1928.9834303473203                           7.612497485407829                            
0.0022269983709800266              1338.1215103885859                           6.3403129591544785                           
0.0023754649125874066              1123.9606931014473                           5.298578141409569                            
0.002523931451009377               1008.7154120220831                           5.106388979192512                            
0.002672397986046849               757.2521083780202                            4.102976635948099                            
0.0028208645175007347              663.110860471474                             3.729228059738228                            
0.0029693310451719464              581.8478387343448                            3.4768954924333904                           
0.0031177975688613966              463.7032998421578                            2.955683387397205                            
0.0032662640883699967              405.24072432377307                           2.717411791117504                            
0.0034147306034986585              367.25844835929604                           2.5157638974978416                           
0.0035631971140482953              309.95805596136734                           2.250924132023379                            
0.0037116636198198188              282.23826480255383                           2.1094889128600554                           
0.0038601301206141426              250.8342405979397                            1.9028822560301832                           
0.004008596616232176               220.18932650503277                           1.800480967262782                            
0.004157063106474833               205.27491798021669                           1.6888335186858372                           
0.004305529591143026               180.5734445645608                            1.5457925117452267                           
0.004453996070037668               163.56183667303006                           1.4668190687543001                           
0.004602462542959671               146.07178010022216                           1.3284743434462738                           
0.004750929009709947               132.1784888017381                            1.2569061558201131                           
0.004899395470089409               119.63456158272552                           1.1708638919025567                           
0.00504786192389897                111.63996780919132                           1.1224207790214613                           
0.005196328370939542               99.95121427320277                            1.0488112226214634                           
0.005344794811012039               92.79862358041393                            0.9818448526742223                           
0.005493261243917372               81.58552441086651                            0.9163442949210605                           
0.005641727669456453               75.71367716149062                            0.8649179815904874                           
0.005790194087430198               69.86590824698384                            0.8271775837998814                           
0.005938660497639517               64.81392662139373                            0.7764513727372232                           
0.006087126899885325               60.920289841335425                           0.7543476881275007                           
0.0062355932939685355              54.76165943599957                            0.700634530379656                            
0.0063840596796900595              49.37340792032143                            0.6522525621477867                           
0.006532526056850811               46.406072957108464                           0.6263089909537054                           
0.006680992425251704               42.322718294695896                           0.595858265959637                            
0.00682945878469365                39.24972418419755                            0.5716652851510535                           
0.006977925134977566               37.48735729284103                            0.541704454645846                            
0.007126391475904361               34.560482937029434                           0.521968782460502                            
0.007274857807274953               31.97203959660096                            0.4900253156238201                           
0.007423324128890251               28.900262921343327                           0.46200520653673516                          
0.007571790440551173               26.514141043374405                           0.4432588282703025                           
0.007720256742058629               24.81033871898777                            0.4204538272343184                           
0.007868723033213537               23.13589241310251                            0.40601783560640087                          
0.008017189313816805               22.533816621295067                           0.39381786933756147                          
0.00816565558366935                20.686793946633408                           0.37106729946267697                          
0.00831412184257209                19.07219353864509                            0.35576012027584436                          
0.008462588090325933               18.455551610404324                           0.3433628137865469                           
0.008611054326731796               17.719405658483446                           0.3403803694403223                           
0.008759520551590594               16.64840413464061                            0.3215320005678327                           
0.008907986764703241               15.259106817034228                           0.3069677426106933                           
0.00905645296587065                14.877200421603922                           0.3001974732703252                           
0.009204919154893739               13.850264744423493                           0.285405684735333                            
0.009353385331573419               13.99174840184682                            0.2895533171737652                           
0.009501851495710607               12.777097198120469                           0.2705700781303615                           
0.009650317647106216               12.170341418867293                           0.2627168347336505                           
0.009798783785561163               11.517673177503708                           0.25364156283537115                          
0.00994724991087636                10.957490964569331                           0.2443459167260535                           
0.010095716022852728               11.32461043919633                            0.24963218968338158                          
0.010244182121291176               9.796362788091399                            0.22690387146589952                          
0.010392648205992623               9.538345273304603                            0.2265902300765068                           
0.010541114276757984               9.305049570202216                            0.219078835833992                            
0.010689580333388175               9.109175022437057                            0.21428904548179348                          
0.010838046375684111               8.861747594027955                            0.21281137092848026                          
0.010986512403446705               8.510469432232988                            0.20414024427051114                          
0.01113497841647688                8.101645124894553                            0.20073017987686712                          
0.011283444414575544               7.83860575689365                             0.19421299246127963                          
0.011431910397543616               8.011652204070822                            0.194253982364097                            
0.011580376365182016               7.281751515447129                            0.1873904185439158                           
0.011728842317291656               7.105666920102987                            0.18065903625800606                          
0.011877308253673455               6.958089146628554                            0.17858875218243847                          
0.012025774174128331               6.588311821914309                            0.17218828782366324                          
0.012174240078457193               6.517842502482733                            0.17040475094215277                          
0.012322705966460968               6.511810110442189                            0.1711856917515021                           
0.012471171837940569               6.210105549826663                            0.1632543327226614                           
0.01261963769269691                5.876281609814674                            0.15957790368200836                          
