<X> <Y> <dY>
8.813602216919226e-04 -8.156804365741944e+01 2.738651425756856e+00
1.028253589049351e-03 -7.266598285692872e+01 1.492045153871227e+00
1.175146955056984e-03 -3.788279044929408e+01 1.134651346274474e+00
1.322040319521992e-03 -2.794494070750151e+01 6.964741438875476e-01
1.468933682251548e-03 -2.029869356653177e+01 5.054593809219123e-01
1.615827043052824e-03 -1.429666777723568e+01 3.563547101579279e-01
1.762720401732992e-03 -1.037236791507311e+01 3.087592414217592e-01
1.909613758099223e-03 -8.099943068720298e+00 2.647898639173296e-01
2.056507111958691e-03 -6.421498343638044e+00 2.231294825773765e-01
2.203400463118568e-03 -3.763863762889565e+00 1.962742624310118e-01
2.350293811386024e-03 -3.802570651038021e+00 1.645551695194832e-01
2.497187156568232e-03 -2.863445583928426e+00 1.479926155373580e-01
2.644080498472365e-03 -2.393781264071587e+00 1.292914740988382e-01
2.790973836905595e-03 -1.916018555541589e+00 1.138567616286325e-01
2.937867171675094e-03 -1.617182806125243e+00 1.052129846409702e-01
3.084760502588034e-03 -1.268481286145311e+00 9.325719656310273e-02
3.231653829451588e-03 -1.116099792543770e+00 8.529783208596689e-02
3.378547152072927e-03 -1.005525049259428e+00 7.817079554962797e-02
3.525440470259224e-03 -7.042028584072941e-01 7.056320280869632e-02
3.672333783817651e-03 -6.521055657657187e-01 6.579801190287965e-02
3.819227092555382e-03 -6.119083830724991e-01 5.925876135877336e-02
3.966120396279587e-03 -4.519669890890409e-01 5.658461898536758e-02
4.113013694797441e-03 -4.943089565390595e-01 5.112655642626627e-02
4.259906987916115e-03 -4.389617285473273e-01 4.731514721781270e-02
4.406800275442781e-03 -4.417672066156959e-01 4.471832220506244e-02
4.553693557184614e-03 -3.020489473742410e-01 4.134567696569059e-02
4.700586832948783e-03 -2.867106341854780e-01 3.869728891400707e-02
4.847480102542463e-03 -2.211199467188023e-01 3.601380941513722e-02
4.994373365772829e-03 -1.958341291825411e-01 3.407688393130365e-02
5.141266622447048e-03 -1.817885933002892e-01 3.202979537335725e-02
5.288159872372297e-03 -1.761560365240347e-01 2.965259326747124e-02
5.435053115355749e-03 -1.676767680815476e-01 2.828418459957308e-02
5.581946351204576e-03 -1.395826488020758e-01 2.666420157021784e-02
5.728839579725948e-03 -1.195942031913805e-01 2.489138893865925e-02
5.875732800727044e-03 -1.217514184887768e-01 2.375629269052545e-02
6.022626014015034e-03 -1.280967914850135e-01 2.251383260013438e-02
6.169519219397089e-03 -1.067284593681221e-01 2.134443837660833e-02
6.316412416680385e-03 -1.407413728949837e-01 2.039556184045882e-02
6.463305605672094e-03 -6.234656606061102e-02 1.915337002871580e-02
6.610198786179393e-03 -4.833381686413626e-02 1.819804397201783e-02
6.757091958009447e-03 -8.812817960633453e-02 1.725273026397355e-02
6.903985120969439e-03 -7.740977939023706e-02 1.647886939681798e-02
7.050878274866538e-03 -8.674600199282899e-02 1.583898148402340e-02
7.197771419507919e-03 -4.123978821643606e-02 1.486107997205887e-02
7.344664554700750e-03 -3.693692319432889e-02 1.430681337994117e-02
7.491557680252214e-03 -5.517310205142916e-02 1.379076353860861e-02
7.638450795969478e-03 -2.227104671345227e-02 1.307764176935158e-02
7.785343901659718e-03 -4.236026332187630e-02 1.258500432165963e-02
7.932236997130110e-03 -5.208623620120901e-02 1.192090603707728e-02
8.079130082187821e-03 -2.623261044443935e-02 1.156900554133180e-02
8.226023156640037e-03 -8.456779941528473e-03 1.112481677297103e-02
8.372916220293923e-03 -2.417160117855180e-02 1.051431864450805e-02
8.519809272956652e-03 -1.100910408366600e-02 1.019422879810695e-02
8.666702314435403e-03 -3.237042911957239e-02 9.791286041649357e-03
8.813595344537354e-03 -4.174010504622691e-03 9.472541130780780e-03
8.960488363069672e-03 -3.039961783645953e-02 9.098247595703723e-03
9.107381369839535e-03 -2.180984555947131e-02 8.640011556949901e-03
9.254274364654119e-03 -2.195223149300725e-02 8.443177935866563e-03
9.401167347320593e-03 -1.568103573217387e-02 8.086544149352715e-03
9.548060317646137e-03 -1.512942161845819e-02 7.889483412969895e-03
