<X> <Y> <dY>
8.813602216919226e-04 -7.864942583818085e+01 2.722342470190865e+00
1.028253589049351e-03 -7.141671246650684e+01 1.483016494379509e+00
1.175146955056984e-03 -4.064975204934087e+01 1.126993729514810e+00
1.322040319521992e-03 -2.881004755777807e+01 6.919795159695575e-01
1.468933682251548e-03 -2.031756297107673e+01 5.022973114936006e-01
1.615827043052824e-03 -1.408194441317249e+01 3.541552861794529e-01
1.762720401732992e-03 -9.986397122265128e+00 3.068866888103839e-01
1.909613758099223e-03 -8.143723684448261e+00 2.631236805382960e-01
2.056507111958691e-03 -5.909670377108329e+00 2.218217983928019e-01
2.203400463118568e-03 -4.031299306569078e+00 1.949903184413432e-01
2.350293811386024e-03 -3.683845141284243e+00 1.635457217596317e-01
2.497187156568232e-03 -2.697830223102751e+00 1.470982217667802e-01
2.644080498472365e-03 -2.238016341240718e+00 1.285137378386731e-01
2.790973836905595e-03 -1.912799624251032e+00 1.131422107183373e-01
2.937867171675094e-03 -1.534293496479119e+00 1.045724407052091e-01
3.084760502588034e-03 -1.372071460676806e+00 9.264439132460324e-02
3.231653829451588e-03 -1.135861724001715e+00 8.475628931432752e-02
3.378547152072927e-03 -8.939818383416481e-01 7.771086613924512e-02
3.525440470259224e-03 -6.940705430555579e-01 7.012195167085887e-02
3.672333783817651e-03 -5.395566580919965e-01 6.541829800164842e-02
3.819227092555382e-03 -5.977931441362051e-01 5.889035391523280e-02
3.966120396279587e-03 -4.181360148438595e-01 5.623955570371371e-02
4.113013694797441e-03 -4.592082032335965e-01 5.081677269799070e-02
4.259906987916115e-03 -3.573538711257526e-01 4.704611406255855e-02
4.406800275442781e-03 -3.237698566816947e-01 4.448105852358365e-02
4.553693557184614e-03 -2.805121243615963e-01 4.109350465507845e-02
4.700586832948783e-03 -2.544042547636240e-01 3.846635081125718e-02
4.847480102542463e-03 -1.719520350639759e-01 3.580674790223882e-02
4.994373365772829e-03 -1.900574891958708e-01 3.386459360250259e-02
5.141266622447048e-03 -1.575076843640331e-01 3.183863185730392e-02
5.288159872372297e-03 -1.505360267121446e-01 2.947723941668755e-02
5.435053115355749e-03 -1.563936814885880e-01 2.811134309266635e-02
5.581946351204576e-03 -1.314751737639116e-01 2.650005668689809e-02
5.728839579725948e-03 -7.292256492603474e-02 2.475713834834203e-02
5.875732800727044e-03 -1.001424229763273e-01 2.361757543505236e-02
6.022626014015034e-03 -8.263432698928729e-02 2.239577802991996e-02
6.169519219397089e-03 -7.450808181223235e-02 2.122729217885655e-02
6.316412416680385e-03 -1.141271573493541e-01 2.028216204271658e-02
6.463305605672094e-03 -6.143614716573383e-02 1.903305866220844e-02
6.610198786179393e-03 -6.280728016087041e-02 1.807477133927184e-02
6.757091958009447e-03 -6.163428081562541e-02 1.715987182190612e-02
6.903985120969439e-03 -5.736128580157987e-02 1.638744626260468e-02
7.050878274866538e-03 -6.216542855215968e-02 1.575500514444373e-02
7.197771419507919e-03 -2.686303891138160e-02 1.477651315617559e-02
7.344664554700750e-03 -5.042596605448615e-02 1.420760687572408e-02
7.491557680252214e-03 -6.011272427641344e-02 1.370054974284794e-02
7.638450795969478e-03 -2.004976949099175e-02 1.299657325137840e-02
7.785343901659718e-03 -2.641005814429522e-02 1.251711058353069e-02
7.932236997130110e-03 -4.956806072347555e-02 1.184774196196714e-02
8.079130082187821e-03 -2.970316585364067e-02 1.149340725665610e-02
8.226023156640037e-03 -2.685946705032244e-02 1.104033103226729e-02
8.372916220293923e-03 -2.313216633169748e-02 1.044878406202932e-02
8.519809272956652e-03 1.092500447515050e-04 1.013867303530233e-02
8.666702314435403e-03 -2.147375973860492e-02 9.738523299399020e-03
8.813595344537354e-03 -1.377903478756278e-02 9.404546515066965e-03
