<X> <Y> <dY>
8.813602216919226e-04 3.779812937972433e+02 2.863596544147252e+00
1.028253589049351e-03 1.798140777414309e+02 1.543469129838865e+00
1.175146955056984e-03 1.091946646385920e+02 1.167928001362623e+00
1.322040319521992e-03 7.720968867286670e+01 7.159377333361391e-01
1.468933682251548e-03 5.455711766941160e+01 5.183024542688224e-01
1.615827043052824e-03 3.986482538229227e+01 3.648800628918120e-01
1.762720401732992e-03 3.106472559282566e+01 3.160390777338404e-01
1.909613758099223e-03 2.200600515491933e+01 2.705207765232625e-01
2.056507111958691e-03 1.798291500765576e+01 2.279540368222223e-01
2.203400463118568e-03 1.571968807470123e+01 2.003848961810033e-01
2.350293811386024e-03 1.244909043505750e+01 1.680832382976917e-01
2.497187156568232e-03 1.000508910870680e+01 1.510446502040493e-01
2.644080498472365e-03 8.214012733550115e+00 1.319168024094871e-01
2.790973836905595e-03 6.960621943242144e+00 1.161480753830241e-01
2.937867171675094e-03 5.995074254970675e+00 1.073384258665603e-01
3.084760502588034e-03 5.410643640977220e+00 9.517984857242313e-02
3.231653829451588e-03 4.575058249889055e+00 8.702088998560703e-02
3.378547152072927e-03 3.877680742347265e+00 7.972454952490261e-02
3.525440470259224e-03 3.484197645573234e+00 7.193705988622433e-02
3.672333783817651e-03 2.969424873895530e+00 6.705658854575909e-02
3.819227092555382e-03 2.627650265749817e+00 6.040862721554209e-02
3.966120396279587e-03 2.298870253270341e+00 5.763388675427175e-02
4.113013694797441e-03 1.968880127809945e+00 5.207206890431871e-02
4.259906987916115e-03 1.894047592776031e+00 4.824203245471931e-02
4.406800275442781e-03 1.602958270705335e+00 4.557961535957181e-02
4.553693557184614e-03 1.531159420306405e+00 4.213567839107275e-02
4.700586832948783e-03 1.383614639987899e+00 3.944110126682920e-02
4.847480102542463e-03 1.298259769038885e+00 3.671047034909369e-02
4.994373365772829e-03 1.110584690804266e+00 3.470436573478979e-02
5.141266622447048e-03 1.063993522683584e+00 3.264977030188671e-02
5.288159872372297e-03 9.726450824352018e-01 3.023208795563587e-02
5.435053115355749e-03 9.326659847017740e-01 2.886047664532300e-02
5.581946351204576e-03 8.629294283755879e-01 2.720193984015346e-02
5.728839579725948e-03 7.716758028731501e-01 2.538104218676455e-02
5.875732800727044e-03 6.797629001308013e-01 2.421654236002247e-02
6.022626014015034e-03 6.382626921914235e-01 2.296477562312543e-02
6.169519219397089e-03 6.266194881887777e-01 2.178683238771052e-02
6.316412416680385e-03 5.379016204641832e-01 2.081869414806091e-02
6.463305605672094e-03 5.346825120521475e-01 1.953514223633483e-02
6.610198786179393e-03 5.058799452996451e-01 1.856128084989694e-02
6.757091958009447e-03 4.651493090468670e-01 1.762110189394706e-02
6.903985120969439e-03 4.258484070091629e-01 1.682641881922334e-02
7.050878274866538e-03 3.749193909833536e-01 1.616878524072074e-02
7.197771419507919e-03 3.826251000674415e-01 1.516700516915860e-02
7.344664554700750e-03 3.546726059504849e-01 1.459876306112796e-02
7.491557680252214e-03 3.248710169267846e-01 1.408242245691072e-02
7.638450795969478e-03 3.388801419656504e-01 1.335913718811238e-02
