ql	Int0202	errInt0202
0	NAN	NAN
0.0002017023135626362	NAN	NAN
0.000403404626873616	NAN	NAN
0.0006051069396833977	NAN	NAN
0.0008068092517382104	NAN	NAN
0.001008511562789569	NAN	NAN
0.001210213872582647	NAN	NAN
0.0014119161808679	NAN	NAN
0.001613618487397904	20.8281053251693	0.1496547194949998
0.001815320791918886	5.716271595480291	0.02241264174950145
0.002017023094177075	3.046004297442999	0.01096417741086296
0.002218725393929274	2.152279344550914	0.005237789140859359
0.002420427690911138	1.336349838948161	0.009330031991366028
0.002622129984890043	0.868210993148698	0.006546659458532565
0.002823832275591071	0.6027891804778913	0.004847306222736287
0.003025534562781599	0.4295830918837131	0.004074979762352469
0.00322723684619728	0.3390267385427954	0.002896583654792292
0.003428939125605493	0.2629983257341446	0.003150762701005021
0.003630641400731317	0.2118585817635023	0.003324565416412007
0.00383234367134213	0.1714729305421717	0.004620185694859587
0.004034045937184158	0.1429904081643306	0.0007268588819457148
0.004235748198003635	0.1210176981866545	0.001807303441360795
0.004437450453546786	0.09875296783676987	0.001375460210648954
0.004639152703559841	0.084829749328957	0.001175271742951082
0.004840854947789029	0.07045106482318732	0.001705916491247818
0.005042557186001725	0.06515487924579288	0.001255646983505048
0.005244259417933586	0.05382145456774032	0.001461658622569111
0.00544596164333084	0.04856449377262515	0.001187173842643468
0.005647663861950289	0.04371071027300716	0.001046453634196229
0.005849366073538162	0.03680754671263856	0.0007712129708986207
0.00605106827784069	0.03538025865264931	0.000612824072168234
0.006252770474604099	0.02929682912985697	0.0006171850554068095
0.006454472663585194	0.02650005348074343	0.0007694547499846247
0.006656174844519628	0.02385819573940518	0.0002593361678754718
0.00685787701717478	0.02149346989015022	0.0006818032149768356
0.007059579181286302	0.02096932720337955	0.0006007601983952306
0.007261281336610998	0.01903090714560626	0.0004520819343845006
0.007462983482884524	0.01658644208196975	0.0003871793244375355
0.007664685619874255	0.01496693254637795	0.0004593258544949116
0.007866387747315847	0.01371144360116332	0.0007152577327633218
0.008068089864955528	0.0139757747009136	0.0005635636930292268
0.008269791972550103	0.01197604045682022	0.0002854982653342345
0.008471494069856372	0.0112648400732293	0.000283497643797368
0.008673196156599417	0.012041720972496	0.0004497541046077474
0.008874898232546615	0.009679975205047256	0.0004032385287108007
0.009076600297444191	0.01014337432365695	0.000321857056746202
0.009278302351048954	0.0091464382236207	0.0004255058557504873
0.009480004393085982	0.008867402006188163	0.0001545437507692287
0.009681706423322653	0.007686263243489002	0.0004522116217742735
0.00988340844149462	0.006813961473071061	0.0004540587598712426
0.01008511044736926	0.006938921228599891	0.000323482768002227
0.01028681244068223	0.006451748327143708	0.0004354937782853859
0.01048851442117976	0.006396195197928389	0.0001192379355962804
0.01069021638861864	0.006760778706748048	0.0002971857207666796
0.01089191834275569	0.00666825954133994	0.0003530609321914878
0.01109362028335828	0.006054101954435475	0.0002674782174600375
0.01129532221010919	0.006010300975780911	0.000317662458518474
0.01149702412279695	0.005774229001250158	0.0002189687758361505
0.01169872602110434	0.005553079171550798	0.0003790559641233542
0.01190042790492564	0.005335564574000892	0.0002612089977288448
0.01210212977394362	0.00518383862136066	0.0003464315389422051
0.01230383162784106	0.004902255749626446	0.0002334054300746017
0.0125055334664065	0.004694228500329044	9.765643266092346e-05
0.01270723528942846	0.004311481914647287	0.000122790326824023
0.01290893709658972	0.004691661913400665	0.0002228560291486374
0.01311063888767881	0.00473579970587371	0.0001744139929038754
0.01331234066248425	0.004363350481919637	0.000270013459387483
0.01351404242068882	0.003914078759125307	0.0002930545045264463
0.01371574416208106	0.003939063029065387	0.0002400875893535557
0.01391744588644949	0.004222123800976078	7.985688117094661e-05
0.01411914759337114	0.003643554471467683	0.0001197134651514994
0.0143208492827403	0.004064709649855106	0.0002421388056527495
0.01452255095434547	0.00324580106145017	0.0001568124310382318
0.01472425260776371	0.003522871540641623	0.0001846543061161013
0.01492595424288929	0.003386775438269863	0.0001578278141949051
0.01512765585951071	0.003758727983117089	0.0001034683734671897
0.01532935745720504	0.003697939986376149	0.0002724245310351748
0.0155310590357608	0.00352622650490488	0.0001538150420638253
0.01573276059507224	0.003371973034435811	0.0001637067606263252
0.01593446213482216	0.00420162652236126	0.0001270030736748147
0.0161361636545876	0.003624931115739817	7.442670334884505e-05
0.01633786515436856	0.003383187520228578	0.0002595882442345459
0.01653956663374209	0.00335126831055996	0.0001390599500722667
0.01674126809260245	0.003314851215523743	0.0001909748768369474
0.0169429695305267	0.002822557774264736	0.0001429454971436892
0.01714467094740909	0.003249637874826748	0.0001587162758196026
0.01734637234293241	0.003595151666860316	4.700277280187471e-05
0.01754807371688517	0.003091905483338893	0.0001277643900228412
0.01774977506895018	0.002916256917474885	0.0001381832798835848
0.01795147639891595	0.003030692149385667	5.905024118044705e-05
0.01815317770646527	0.003145421777794188	0.0001707210856817195
0.0183548789914924	0.003319010087342396	0.0001068062105621768
0.01855658025357439	0.003325010480734483	0.0001519552643027431
0.01875828149260551	0.003175180837656994	0.0001462644081093485
0.01895998270826852	0.003160959384871785	0.000166157435396157
0.01916168390035197	0.003027046088711248	5.618864232896955e-05
0.01936338506853864	0.002985153067286878	0.0001128150707646917
0.01956508621261705	0.003102372694438794	0.0001359210523215804
0.01976678733237572	0.002835183554293098	0.0001631805556680236
0.01996848842749745	0.002862346950618581	0.0002262205639464966
0.02017018949777075	0.003396091760448539	0.0002240076194512077
0.02037189054287841	0.002818662743180027	0.0001473205386948941
