#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.4166200160980225
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_86
# img{1}_AzInt_Px_87
# img{2}_AzInt_Px_88
# img{3}_AzInt_Px_89
# img{4}_AzInt_Px_90
#
#####################################################################################################
q(A-1)                             I(q)Ave_99_GC1_00016AzInt_Px       Sig(q)Ave_99_GC1_00016AzInt_Px     
0.0                                nan                                nan                                
0.0001484665654979606              nan                                nan                                
0.000296933130796833               nan                                nan                                
0.00044539969569752885             nan                                nan                                
0.0005938662600009603              nan                                nan                                
0.0007423328235080391              nan                                nan                                
0.0008907993860196767              nan                                nan                                
0.0010392659473367853              62793.48395139099                  103.96360556833463                 
0.0011877325072602765              50125.32502916721                  41.540114256542715                 
0.001336199065591062               42234.941971152686                 23.647656979986756                 
0.0014846656221300543              29901.180318044924                 17.399772374553407                 
0.0016331321766781647              21943.445106088024                 11.938601286669652                 
0.0017815987290363056              17042.07733522583                  10.057411987252221                 
0.0019300652790053877              13780.47710687381                  8.54307692670923                   
0.0020785318263863237              11123.745568390277                 7.1936409249010556                 
0.0022269983709800266              9143.857893102433                  6.522102969452197                  
0.0023754649125874066              7741.339791482698                  5.472076047654082                  
0.002523931451009377               6633.89020176553                   5.153162786123341                  
0.002672397986046849               5758.419281108852                  4.452363471184872                  
0.002820864517500735               5059.481449011587                  4.053580935432082                  
0.0029693310451719464              4467.945070443822                  3.7914114158127736                 
0.0031177975688613966              3975.206253778489                  3.405476018926817                  
0.0032662640883699967              3580.7080831622925                 3.178656004086845                  
0.0034147306034986585              3233.069022130944                  2.9373222520068722                 
0.0035631971140482953              2978.3061081717046                 2.7457064752311457                 
0.0037116636198198188              2744.605059273515                  2.588626502220887                  
0.0038601301206141426              2548.816208413864                  2.386976386088493                  
0.004008596616232176               2367.1952030256775                 2.3230980346293477                 
0.004157063106474832               2227.126482880194                  2.189028072228079                  
0.004305529591143026               2126.179926502432                  2.0872983264741176                 
0.004453996070037668               2020.863446642346                  2.0289165263445152                 
0.004602462542959671               1932.9335910460682                 1.9016856395070652                 
0.0047509290097099465              1858.474906364458                  1.8546458233253436                 
0.004899395470089409               1787.2559371967775                 1.7808674566193559                 
0.00504786192389897                1733.8004909300084                 1.7406271725754798                 
0.005196328370939541               1674.0533056817585                 1.6890713461994806                 
0.005344794811012039               1627.8645405277334                 1.6182352087977954                 
0.0054932612439173726              1586.1338234072603                 1.5899451592147265                 
0.005641727669456453               1549.4092437971944                 1.539681139923293                  
0.005790194087430197               1523.2413027837313                 1.519885723661707                  
0.005938660497639517               1491.9476735488859                 1.4659427728327192                 
0.006087126899885323               1470.7461373202664                 1.4585436392450482                 
0.0062355932939685355              1446.7472167009448                 1.4171294803411403                 
0.0063840596796900595              1422.8763130079                    1.3778841356785994                 
0.006532526056850811               1402.3757643186125                 1.3548573184178063                 
0.006680992425251704               1384.257474251771                  1.3409882932095791                 
0.00682945878469365                1374.8601506012064                 1.3314137411904476                 
0.006977925134977566               1362.0494837865613                 1.2849212521058735                 
0.007126391475904363               1348.3077380488799                 1.2829491200557928                 
0.007274857807274953               1328.8026428448106                 1.2431500926271593                 
0.007423324128890249               1321.0312913265338                 1.2291708976131908                 
0.007571790440551173               1309.6066442858005                 1.2258831423517014                 
0.007720256742058629               1297.3605535481518                 1.1964441198402658                 
0.007868723033213537               1292.080612575058                  1.194006889190588                  
0.008017189313816805               1284.3338428007137                 1.1699769768105581                 
0.00816565558366935                1276.8199260731446                 1.1471783092422354                 
0.008314121842572091               1269.5294206429637                 1.142190555172045                  
0.008462588090325933               1263.9408289549185                 1.1181835425851638                 
0.008611054326731796               1255.6324598842152                 1.127538355955074                  
0.008759520551590594               1248.9851399595452                 1.0959146240333961                 
0.008907986764703241               1244.6404455193394                 1.0909640308844204                 
0.009056452965870649               1238.343253572215                  1.0777723949117555                 
0.009204919154893739               1235.6358173434778                 1.0608136362667415                 
0.009353385331573419               1231.6810006104217                 1.0690586847798649                 
0.009501851495710607               1224.5883708900951                 1.042362473943551                  
0.009650317647106216               1222.1920359692754                 1.0360163287337536                 
0.009798783785561161               1215.7885187254353                 1.0254802112206858                 
0.009947249910876362               1214.8443487142927                 1.0124415857922835                 
0.010095716022852726               1209.3779076008168                 1.0151490042188702                 
0.010244182121291178               1210.4958350445872                 0.9925471286796442                 
0.010392648205992625               1202.6174107288505                 1.0012178974174901                 
0.010541114276757984               1201.2999955238135                 0.9795504571198542                 
0.010689580333388174               1199.536256624978                  0.9676694023602812                 
0.010838046375684111               1196.4206363400049                 0.9730550704914404                 
0.010986512403446703               1192.5882350024278                 0.9509489527818996                 
0.01113497841647688                1187.4881737365904                 0.956314201742207                  
0.011283444414575544               1182.9289542106048                 0.9388546448778365                 
0.011431910397543614               1181.8333766654212                 0.928425363458483                  
0.011580376365182016               1182.0880735062624                 0.9395390788302214                 
0.011728842317291654               1180.8444967071657                 0.9164603329289539                 
0.011877308253673455               1174.6191121444022                 0.9130984465407354                 
0.012025774174128331               1174.7910290154377                 0.9048090682145811                 
0.012174240078457193               1171.7213445286957                 0.8990879353252744                 
0.012322705966460968               1167.70360606096                   0.9020760656150509                 
0.01247117183794057                1166.1630497943424                 0.8803489799248536                 
0.01261963769269691                1165.3951323878598                 0.8843377624207942                 
0.012768103530530912               1163.019003010869                  0.8691520658546276                 
0.01291656935124349                1159.8466096090754                 0.8729212336731544                 
0.013065035154635564               1159.1129769584918                 0.8660584047776909                 
0.01321350094050805                1155.6909212188857                 0.8520616773258892                 
0.013361966708661868               1152.9122317576418                 0.8533757639456361                 
0.013510432458897936               1152.5623411714073                 0.8447636968187894                 
0.013658898191017161               1152.212692269103                  0.8461586405844992                 
0.013807363904820477               1150.8309325073114                 0.8329680862237421                 
0.013955829600108794               1147.5294658813414                 0.8310446878603015                 
0.014104295276683032               1146.1139051215175                 0.8298073966177931                 
0.014252760934344114               1144.7513984068644                 0.8214662206020822                 
0.014401226572892951               1143.2854964848193                 0.8140006144225713                 
0.014549692192130467               1142.817477748155                  0.8064017386150251                 
0.014698157791857583               1140.02135401997                   0.8114730044949325                 
0.01484662337187521                1139.0223650467929                 0.8037344134036856                 
0.014995088931984278               1137.8267496538672                 0.7961315025388657                 
