#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3769869804382324
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_69
# img{1}_AzInt_Px_70
# img{2}_AzInt_Px_71
# img{3}_AzInt_Px_72
# img{4}_AzInt_Px_73
#
#####################################################################################################
q(A-1)                             I(q)Ave_114_OC0P05_00008AzInt_Px   Sig(q)Ave_114_OC0P05_00008AzInt_Px 
0.0                                nan                                nan                                
0.0001484665654979606              nan                                nan                                
0.000296933130796833               nan                                nan                                
0.00044539969569752885             nan                                nan                                
0.0005938662600009603              nan                                nan                                
0.0007423328235080391              nan                                nan                                
0.0008907993860196767              nan                                nan                                
0.0010392659473367853              10428.873583010602                 36.42787243770819                  
0.0011877325072602765              5936.0431587722005                 12.290761872464744                 
0.001336199065591062               3875.743980587368                  6.159156308482305                  
0.0014846656221300543              2822.5336360950582                 4.596320586351149                  
0.0016331321766781647              2228.0281426529355                 3.2707911855473064                 
0.0017815987290363056              1683.7998773050379                 2.7180771584010874                 
0.0019300652790053877              1324.7656377508126                 2.277420142389635                  
0.0020785318263863237              1027.2287337113526                 1.879525066534584                  
0.0022269983709800266              829.1986942085896                  1.6886662422051963                 
0.0023754649125874066              676.152378196561                   1.390456801406334                  
0.002523931451009377               564.356787615854                   1.2922839165151703                 
0.002672397986046849               475.8141218610343                  1.1003961672496385                 
0.002820864517500735               397.5259806147786                  0.9769229119978382                 
0.0029693310451719464              342.6480479114683                  0.9027406929084526                 
0.0031177975688613966              297.1171138109329                  0.8004855919151261                 
0.0032662640883699967              261.02991283259564                 0.7378969274652281                 
0.0034147306034986585              231.3812979831634                  0.6756155544164281                 
0.0035631971140482953              206.07825256769084                 0.6209796958587444                 
0.0037116636198198188              183.74802766334307                 0.5758796890479834                 
0.0038601301206141426              164.15560247204232                 0.5208324463784113                 
0.004008596616232176               147.63791073960175                 0.49881661214526424                
0.004157063106474832               133.49641810251032                 0.46079298165081833                
0.004305529591143026               120.54672464945509                 0.427320251902566                  
0.004453996070037668               109.54895742173449                 0.4061549759960864                 
0.004602462542959671               99.87668953141579                  0.3716665416998578                 
0.0047509290097099465              90.36793920199604                  0.35162624564566275                
0.004899395470089409               81.69468065891428                  0.3273606537922874                 
0.00504786192389897                74.40742743091232                  0.3100309677013776                 
0.005196328370939541               67.3993281392972                   0.29139544829123065                
0.005344794811012039               61.738748571211794                 0.27095867258587764                
0.0054932612439173726              56.85248916764402                  0.2588083907988111                 
0.005641727669456453               52.057316308121095                 0.24264993932497295                
0.005790194087430197               47.90476469131394                  0.23174331309777169                
0.005938660497639517               44.22270328821727                  0.21699708145058624                
0.006087126899885323               40.287592041462865                 0.20755223674131149                
0.0062355932939685355              37.08903831241378                  0.1950866243607855                 
0.0063840596796900595              33.80005962963457                  0.18259103590378317                
0.006532526056850811               30.823574121987424                 0.17270074829073392                
0.006680992425251704               28.472517191283252                 0.16535634610217628                
0.00682945878469365                26.298750147573475                 0.15832283107263767                
0.006977925134977566               24.960915302082793                 0.14955507617410618                
0.007126391475904363               22.758319397915074                 0.14330993056879743                
0.007274857807274953               20.87889597303718                  0.13397954688683783                
0.007423324128890249               19.611397053717624                 0.12876623900485645                
0.007571790440551173               18.204145074598877                 0.12426689795687665                
0.007720256742058629               16.97048576295237                  0.11765218705758702                
0.007868723033213537               15.72995618121143                  0.11327073527292024                
0.008017189313816805               14.631744517901197                 0.10736889724834076                
0.00816565558366935                13.946422659844846                 0.10308366429465296                
0.008314121842572091               12.67937074983124                  0.09814237206698592                
0.008462588090325933               11.878123020122981                 0.09319974516391773                
0.008611054326731796               11.388198468950502                 0.0923249492197639                 
0.008759520551590594               10.617238967004052                 0.08687493007862673                
0.008907986764703241               10.13626938953971                  0.08464839735055309                
0.009056452965870649               9.428426043674367                  0.08085701021496852                
0.009204919154893739               8.92516387934107                   0.07751640078791326                
0.009353385331573419               8.529657946685623                  0.07649071992181404                
0.009501851495710607               8.075326978187789                  0.07277728360623754                
0.009650317647106216               7.75010420130643                   0.07093193098457606                
0.009798783785561161               7.383298825591905                  0.0687093581936679                 
0.009947249910876362               7.0513313598677225                 0.06631867925469273                
0.010095716022852726               6.805568635057304                  0.06547449518056131                
0.010244182121291178               6.489117928212276                  0.06248208130503086                
0.010392648205992625               6.235246806099139                  0.061984753655533485               
0.010541114276757984               5.9447034776446905                 0.05924594371972984                
0.010689580333388174               5.688689530439218                  0.05729514903912396                
0.010838046375684111               5.638481957836666                  0.05743396021753984                
0.010986512403446703               5.419870743418185                  0.05511859996422891                
0.01113497841647688                5.13298229646052                   0.05405835714628978                
0.011283444414575544               4.935514995648191                  0.052140897194470945               
0.011431910397543614               4.782953906663532                  0.05078201560539849                
0.011580376365182016               4.5945303763518215                 0.05036179579839255                
0.011728842317291654               4.502905475675275                  0.048658030783899436               
0.011877308253673455               4.3273031491971095                 0.04765070731767971                
0.012025774174128331               4.1814819136592005                 0.04641223451726758                
0.012174240078457193               4.02587066132472                   0.045311797007366025               
0.012322705966460968               3.9342145994088846                 0.04501908651465105                
0.01247117183794057                3.75293316407406                   0.04293906703335197                
0.01261963769269691                3.6987300586173353                 0.042835093097027835               
0.012768103530530912               3.5609001047813864                 0.04134994716061346                
0.01291656935124349                3.440889559955847                  0.04087905372617769                
0.013065035154635564               3.4063842491078313                 0.04036669294307505                
0.01321350094050805                3.2962365348919738                 0.03912464407865836                
0.013361966708661868               3.192049727914976                  0.03860723066652687                
0.013510432458897936               3.0954969932431258                 0.037640962607753736               
0.013658898191017161               3.0147801620852457                 0.037213839077243405               
0.013807363904820477               2.9785180037854384                 0.03643464378221675                
0.013955829600108794               2.9973251127121463                 0.036517463770779544               
0.014104295276683032               2.8433028575964023                 0.035535735992221665               
0.014252760934344114               2.7945719759219525                 0.034896728011147495               
0.014401226572892951               2.7111005371623547                 0.03408100687459013                
0.014549692192130467               2.6845288149232176                 0.0336039011749256                 
0.014698157791857583               2.62044143455362                   0.033450023294879366               
0.01484662337187521                2.5046287149943005                 0.03240490664314612                
0.014995088931984278               2.4822881724328516                 0.03197169088044581                
0.015143554471985694               2.4408510066532876                 0.03155071614190035                
0.015292019991680388               2.3853394597488036                 0.031041326434660815               
