#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.4355149269104004
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_104
# img{1}_AzInt_Px_105
# img{2}_AzInt_Px_106
# img{3}_AzInt_Px_107
# img{4}_AzInt_Px_108
#
#####################################################################################################
q(A-1)                             I(q)Ave_121_PR32M_00015AzInt_Px    Sig(q)Ave_121_PR32M_00015AzInt_Px  
0.0                                nan                                nan                                
0.0001484665654979606              nan                                nan                                
0.000296933130796833               nan                                nan                                
0.00044539969569752885             nan                                nan                                
0.0005938662600009603              nan                                nan                                
0.0007423328235080391              nan                                nan                                
0.0008907993860196767              nan                                nan                                
0.0010392659473367853              305329.82047652046                 199.11754690160197                 
0.0011877325072602765              283467.66374411026                 85.80100744890021                  
0.001336199065591062               261386.3414452152                  51.0970674432695                   
0.0014846656221300543              241290.09453267633                 42.93110982994056                  
0.0016331321766781647              223473.04061410687                 33.09153106757959                  
0.0017815987290363056              208359.33834695682                 30.544652249176202                 
0.0019300652790053877              193948.1771214853                  27.837444723324904                 
0.0020785318263863237              181229.89293285258                 25.21986591733062                  
0.0022269983709800266              169038.5918364037                  24.356863056566237                 
0.0023754649125874066              158155.3148540332                  21.482838317753924                 
0.002523931451009377               148159.24820787035                 21.152434981307426                 
0.002672397986046849               138821.67024205832                 18.98777806928439                  
0.002820864517500735               130245.76367349757                 17.86382178286324                  
0.0029693310451719464              122493.58280574821                 17.24290575410902                  
0.0031177975688613966              115564.99237090004                 15.948421080275242                 
0.0032662640883699967              109074.18932828067                 15.237952017668002                 
0.0034147306034986585              103062.98755908622                 14.404622589904298                 
0.0035631971140482953              97923.86294346425                  13.674772577836517                 
0.0037116636198198188              93045.47170743102                  13.091316663070288                 
0.0038601301206141426              88482.07995569932                  12.21553364247128                  
0.004008596616232176               84128.37413585615                  12.028953493842689                 
0.004157063106474832               80408.32708337353                  11.424456956777982                 
0.004305529591143026               76852.85476858425                  10.89984634649971                  
0.004453996070037668               73523.50544529338                  10.629544691312471                 
0.004602462542959671               70430.529229695                    9.970487629587279                  
0.0047509290097099465              67500.3279526186                   9.708259167964679                  
0.004899395470089409               64735.38248496873                  9.309252784357003                  
0.00504786192389897                62133.201343231645                 9.05052202402662                   
0.005196328370939541               59643.338185968845                 8.75689373553222                   
0.005344794811012039               57320.30794713501                  8.340504234221324                  
0.0054932612439173726              55069.766322547606                 8.137193435879038                  
0.005641727669456453               52961.5101998708                   7.818687884058181                  
0.005790194087430197               50892.43608662735                  7.6306009876877905                 
0.005938660497639517               48949.780669186344                 7.293256075920415                  
0.006087126899885323               47074.69440039755                  7.167213782994978                  
0.0062355932939685355              45317.00336433185                  6.888901231116573                  
0.0063840596796900595              43584.24904824602                  6.623691386953982                  
0.006532526056850811               41900.480521145124                 6.432456349828437                  
0.006680992425251704               40323.746698094066                 6.286409636684408                  
0.00682945878469365                38821.54050478166                  6.1450591695141785                 
0.006977925134977566               37374.07792489791                  5.846169979795316                  
0.007126391475904363               36001.57854892804                  5.758131743393702                  
0.007274857807274953               34631.2246024896                   5.512307976030792                  
0.007423324128890249               33343.43242032806                  5.363735143797731                  
0.007571790440551173               32107.88584184405                  5.272184629237943                  
0.007720256742058629               30915.710623948347                 5.072917479461742                  
0.007868723033213537               29777.89671456329                  4.978691814006217                  
0.008017189313816805               28665.240466293104                 4.800892575782563                  
0.00816565558366935                27616.23252177079                  4.633983814450055                  
0.008314121842572091               26570.062302328024                 4.538573894035291                  
0.008462588090325933               25578.893363514428                 4.369148235335979                  
0.008611054326731796               24621.745895283053                 4.336761168159831                  
0.008759520551590594               23710.247644558396                 4.147363649413237                  
0.008907986764703241               22819.82606541731                  4.057425151749943                  
0.009056452965870649               21964.356348399586                 3.942502178808463                  
0.009204919154893739               21131.770853965343                 3.8103749410011183                 
0.009353385331573419               20330.233603589975                 3.7725052432811865                 
0.009501851495710607               19550.079961797186                 3.617464207260918                  
0.009650317647106216               18808.49665192581                  3.5300413891359304                 
0.009798783785561161               18084.342836081494                 3.435227740249733                  
0.009947249910876362               17375.351506296032                 3.3256947313096985                 
0.010095716022852726               16718.79944459232                  3.2783676324112676                 
0.010244182121291178               16067.251561586914                 3.140844811743263                  
0.010392648205992625               15417.349772814277                 3.1136925037787444                 
0.010541114276757984               14807.761062958924                 2.987115683587693                  
0.010689580333388174               14210.265782896726                 2.8928624077242775                 
0.010838046375684111               13637.103766061346                 2.853398507540508                  
0.010986512403446703               13086.869982517248                 2.7361250273141438                 
0.01113497841647688                12555.718691661765                 2.700928133226297                  
0.011283444414575544               12035.255886879533                 2.6010737864015314                 
0.011431910397543614               11530.526851642038                 2.518834726391735                  
0.011580376365182016               11048.675001336242                 2.494886643422336                  
0.011728842317291654               10583.161096542073                 2.383038675132997                  
0.011877308253673455               10134.013973126135                 2.329518104553607                  
0.012025774174128331               9694.405954429665                  2.257580793237726                  
0.012174240078457193               9269.667321296649                  2.1964833326570856                 
0.012322705966460968               8863.875233093348                  2.1587120606010255                 
0.01247117183794057                8473.9018620725                    2.0612143984112183                 
0.01261963769269691                8090.387825209614                  2.0238217052413434                 
0.012768103530530912               7722.950481124654                  1.9453598622491401                 
0.01291656935124349                7364.986379784003                  1.9105866906120752                 
0.013065035154635564               7029.0863716443                    1.852421970961279                  
0.01321350094050805                6698.417598563789                  1.7817312824316491                 
0.013361966708661868               6378.640199435087                  1.7434614757351565                 
0.013510432458897936               6072.870992980836                  1.6842482012567785                 
0.013658898191017161               5779.9763747312845                 1.646093933369531                  
0.013807363904820477               5496.014418232639                  1.5810745998342166                 
0.013955829600108794               5228.562203186835                  1.5407765691808488                 
0.014104295276683032               4962.535134988199                  1.49975756902696                   
0.014252760934344114               4712.952138550312                  1.4477278062420518                 
0.014401226572892951               4466.974213475467                  1.3975271144688257                 
0.014549692192130467               4230.732532021668                  1.3476493362732078                 
0.014698157791857583               4009.309721972861                  1.3217774792750243                 
0.01484662337187521                3791.8653822063557                 1.2737345141153305                 
0.014995088931984278               3589.4468240792266                 1.2281921023230233                 
0.015143554471985694               3388.4425021770317                 1.1875579209019353                 
0.015292019991680388               3196.9796029012973                 1.1480129961474046                 
0.01544048549086928                3017.0443277488603                 1.1161239826986002                 
