#####################################################################################################
# NeXus source file: Cycling 7 MIC AM PR32 Assembly-Disassembly
# NXdata: name = img{0}_azimuthalIntegration_Px_0                  
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.00046066252769
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03316188591951
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.0564709619142507e-06
# GlobalNormalization                               0.43724957446887824
# AbsTimeStamps                                     nan
# TimeStamps                                        0.9271159172058105
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR32M_3mM8A2_00724{00000}_AzInt_Px_0     Sig(q)PR32M_3mM8A2_00724{00000}_AzInt_Px_0   
0.0                                nan                                          nan                                          
0.0001484665654979606              nan                                          nan                                          
0.000296933130796833               nan                                          nan                                          
0.00044539969569752896             nan                                          nan                                          
0.0005938662600009603              nan                                          nan                                          
0.0007423328235080391              nan                                          nan                                          
0.0008907993860196767              nan                                          nan                                          
0.0010392659473367853              140982.418965653                             401.51594150318886                           
0.0011877325072602765              125055.58912191831                           169.1168449828051                            
0.001336199065591062               110174.36861902582                           98.44392688000315                            
0.0014846656221300543              98660.71762363562                            81.46442531612075                            
0.0016331321766781643              88983.29956374838                            61.96574047450471                            
0.0017815987290363052              81607.5897780657                             56.726581054135906                           
0.0019300652790053877              75015.96154352906                            51.375433203320384                           
0.002078531826386324               69525.12118023992                            46.35433527995189                            
0.0022269983709800266              64438.41109225982                            44.62640450126289                            
0.0023754649125874066              60250.3856049108                             39.347782672173174                           
0.002523931451009377               56501.64523621517                            38.76293738825423                            
0.002672397986046849               53031.92517586291                            34.8260373757023                             
0.0028208645175007347              49954.02225409058                            32.82975722814811                            
0.0029693310451719464              47223.565727396104                           31.77041437422765                            
0.0031177975688613966              44780.129263388735                           29.460292580081838                           
0.0032662640883699967              42390.72780021554                            28.18973007259001                            
0.0034147306034986585              40163.69533124235                            26.684396293590456                           
0.0035631971140482953              38320.374517964075                           25.385214201411273                           
0.0037116636198198188              36536.22456179639                            24.3437624355056                             
0.0038601301206141426              34875.49404335309                            22.758061008221425                           
0.004008596616232176               33188.25986572083                            22.420185994311698                           
0.004157063106474833               31762.20297217494                            21.307415336479217                           
0.004305529591143026               30419.026581412327                           20.34948772511721                            
0.004453996070037668               29083.40956506327                            19.838771909921434                           
0.004602462542959671               27847.305356498346                           18.604506985747914                           
0.004750929009709947               26711.855043701584                           18.123040190727554                           
0.004899395470089409               25571.480878521365                           17.362513177200967                           
0.00504786192389897                24546.763404807647                           16.88105294228711                            
0.005196328370939542               23563.95229788                               16.333675482611138                           
0.005344794811012039               22638.10578785694                            15.554236916519695                           
0.005493261243917372               21729.342787328314                           15.168128107440351                           
0.005641727669456453               20856.379093037973                           14.560080615876982                           
0.005790194087430198               20063.156499886565                           14.217469305960364                           
0.005938660497639517               19289.59616016727                            13.586207090684516                           
0.006087126899885325               18528.809011496298                           13.343535102034268                           
0.0062355932939685355              17844.039308204687                           12.827924344233603                           
0.0063840596796900595              17144.778892712144                           12.327975213260768                           
0.006532526056850811               16477.918929866322                           11.970408870239044                           
0.006680992425251704               15860.371881704526                           11.699557641171122                           
0.00682945878469365                15273.062258855933                           11.437816990656197                           
0.006977925134977566               14694.774313141843                           10.878224598068064                           
0.007126391475904361               14136.761324604453                           10.707452543085084                           
0.007274857807274953               13614.09219815829                            10.256147463496061                           
0.007423324128890251               13081.780180123058                           9.969788915756974                            
0.007571790440551173               12595.970649172043                           9.799208532753891                            
0.007720256742058629               12128.084984178528                           9.428761401900342                            
0.007868723033213537               11691.410164394603                           9.257463299647101                            
0.008017189313816805               11243.128295661156                           8.92232811847928                             
0.00816565558366935                10818.80705400019                            8.607010719067032                            
0.00831412184257209                10415.843677699886                           8.43258512857904                             
0.008462588090325933               10010.212117750301                           8.110879534393606                            
0.008611054326731796               9636.926665918187                            8.05129563634206                             
0.008759520551590594               9278.981020855417                            7.699182388312409                            
0.008907986764703241               8932.754549816858                            7.533164499863772                            
0.00905645296587065                8597.229911620332                            7.3195142895209555                           
0.009204919154893739               8265.97223780418                             7.071916426762871                            
0.009353385331573419               7955.214052542379                            7.002853690817093                            
0.009501851495710607               7652.761917356608                            6.716288386394203                            
0.009650317647106216               7360.462496819981                            6.55308258276789                             
0.009798783785561163               7077.623653077305                            6.377321984805144                            
0.00994724991087636                6798.787249618759                            6.173363043940368                            
0.010095716022852728               6531.239305319727                            6.080556323516801                            
0.010244182121291176               6283.226090493885                            5.828507859528971                            
0.010392648205992623               6032.507442625002                            5.779764734741744                            
0.010541114276757984               5792.870607739525                            5.544272399508043                            
0.010689580333388175               5557.383664028122                            5.368490685349704                            
0.010838046375684111               5337.443790597361                            5.297346309323217                            
0.010986512403446705               5112.952934689981                            5.075096872008028                            
0.01113497841647688                4905.469814659977                            5.009829393108652                            
0.011283444414575544               4704.654148921989                            4.825910764633418                            
0.011431910397543616               4504.471475977097                            4.671833693188208                            
0.011580376365182016               4317.660692858497                            4.628180365578507                            
0.011728842317291656               4135.670134536767                            4.420656588886975                            
0.011877308253673455               3961.8450584840402                           4.322295142616448                            
0.012025774174128331               3787.6338583017227                           4.1875219498287235                           
0.012174240078457193               3623.542210039106                            4.075238185973287                            
0.012322705966460968               3470.070094607641                            4.008134520809223                            
0.012471171837940569               3314.6771848332683                           3.825537042990446                            
0.01261963769269691                3162.4967413709296                           3.7548540915651807                           
0.012768103530530912               3016.1291159397                              3.607644769659208                            
