#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.4075279235839844
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_94
# img{1}_AzInt_Px_95
# img{2}_AzInt_Px_96
# img{3}_AzInt_Px_97
# img{4}_AzInt_Px_98
#
#####################################################################################################
q(A-1)                             I(q)Ave_119_PR8PLD_00013AzInt_Px   Sig(q)Ave_119_PR8PLD_00013AzInt_Px 
0.0                                nan                                nan                                
0.0001484665654979606              nan                                nan                                
0.000296933130796833               nan                                nan                                
0.00044539969569752885             nan                                nan                                
0.0005938662600009603              nan                                nan                                
0.0007423328235080391              nan                                nan                                
0.0008907993860196767              nan                                nan                                
0.0010392659473367853              233975.43261614005                 173.99898304373897                 
0.0011877325072602765              218574.8859291553                  75.21022704168423                  
0.001336199065591062               203994.64391057738                 45.06086670657281                  
0.0014846656221300543              191080.97257003485                 38.136978315237                    
0.0016331321766781647              179401.88661417383                 29.59736403324904                  
0.0017815987290363056              169199.6482410211                  27.476640601231516                 
0.0019300652790053877              159173.55730874167                 25.17427832203699                  
0.0020785318263863237              149960.09510640946                 22.900793437228078                 
0.0022269983709800266              141097.54914678755                 22.213786371744938                 
0.0023754649125874066              133141.08134349482                 19.67613890397482                  
0.002523931451009377               125692.94772034479                 19.448455950797076                 
0.002672397986046849               118855.80064051489                 17.538373808424378                 
0.002820864517500735               112556.71935644974                 16.57723058997835                  
0.0029693310451719464              106849.23627690617                 16.07582144709611                  
0.0031177975688613966              101778.70363331608                 14.94055918370909                  
0.0032662640883699967              96988.69496807674                  14.343665942119028                 
0.0034147306034986585              92520.00490533414                  13.623938123632698                 
0.0035631971140482953              88771.92195406633                  12.997150363874573                 
0.0037116636198198188              85231.01466416295                  12.507461567927596                 
0.0038601301206141426              81889.47005449391                  11.73096145958975                  
0.004008596616232176               78597.78408530491                  11.606378088273882                 
0.004157063106474832               75777.01378574308                  11.071049959288946                 
0.004305529591143026               73076.56045447447                  10.609979851889394                 
0.004453996070037668               70408.90417191767                  10.383662053630916                 
0.004602462542959671               67927.49777244878                  9.77449161058292                   
0.0047509290097099465              65528.109472407574                 9.548556271597956                  
0.004899395470089409               63276.04702947296                  9.18753614823817                   
0.00504786192389897                61090.28224535541                  8.95845800262048                   
0.005196328370939541               59009.18860851326                  8.694898150552946                  
0.005344794811012039               57070.18786720403                  8.307649979344397                  
0.0054932612439173726              55195.94882815754                  8.13218389227795                   
0.005641727669456453               53447.122780938094                 7.840637124234162                  
0.005790194087430197               51786.323185393485                 7.68378240100878                   
0.005938660497639517               50219.960747083765                 7.374281531081012                  
0.006087126899885323               48735.013022113744                 7.279683296027737                  
0.0062355932939685355              47352.99334684694                  7.029562683207452                  
0.0063840596796900595              45981.49980276701                  6.791445133541124                  
0.006532526056850811               44676.769043159686                 6.630457284884064                  
0.006680992425251704               43461.92608999692                  6.514963609541185                  
0.00682945878469365                42265.45572107354                  6.400554918011862                  
0.006977925134977566               41098.72166427716                  6.119774479034705                  
0.007126391475904363               39975.076499848525                 6.056902954008842                  
0.007274857807274953               38849.96278419885                  5.828139673692542                  
0.007423324128890249               37769.24387287815                  5.698575301893721                  
0.007571790440551173               36695.46962064625                  5.626340984584731                  
0.007720256742058629               35675.11430818175                  5.439836988427131                  
0.007868723033213537               34669.08260557938                  5.3625857984983565                 
0.008017189313816805               33689.32313231954                  5.1954760269314155                 
0.00816565558366935                32737.092971086728                 5.036481457733373                  
0.008314121842572091               31802.43636251837                  4.95664944470794                   
0.008462588090325933               30898.212766420766                 4.793552375982303                  
0.008611054326731796               30014.994922228932                 4.779803577695389                  
0.008759520551590594               29174.370748445443                 4.592399536361574                  
0.008907986764703241               28365.823728418734                 4.515718304237143                  
0.009056452965870649               27570.178358717174                 4.409275027722828                  
0.009204919154893739               26815.201390346116                 4.28474664684161                   
0.009353385331573419               26061.2811235802                   4.263747004869191                  
0.009501851495710607               25343.366114659766                 4.111466539936967                  
0.009650317647106216               24639.690252614884                 4.033249445496667                  
0.009798783785561161               23968.90895195389                  3.9478716607548847                 
0.009947249910876362               23295.444267271                    3.844022549907984                  
0.010095716022852726               22673.814265809753                 3.8111161241717086                 
0.010244182121291178               22063.308058419345                 3.6740554874818416                 
0.010392648205992625               21429.281063283128                 3.664455074026596                  
0.010541114276757984               20847.134864213305                 3.5380601587225917                 
0.010689580333388174               20271.742011395014                 3.4491086582862565                 
0.010838046375684111               19713.94543445773                  3.4247030089348782                 
0.010986512403446703               19175.40378668812                  3.306169669029562                  
0.01113497841647688                18661.012496710464                 3.2869608547098155                 
0.011283444414575544               18153.291603946986                 3.188875453070118                  
0.011431910397543614               17656.50375232989                  3.1114456574059877                 
0.011580376365182016               17177.759252518543                 3.105371071950647                  
0.011728842317291654               16723.095488672105                 2.9903128089867588                 
0.011877308253673455               16269.013752434408                 2.9463933727705336                 
0.012025774174128331               15829.220372891728                 2.8797005367326567                 
0.012174240078457193               15393.77467433501                  2.8255523052420015                 
0.012322705966460968               14984.24024925104                  2.8017857151928114                 
0.01247117183794057                14577.82445411763                  2.6987494999091584                 
0.01261963769269691                14172.790013413833                 2.673930561390292                  
0.012768103530530912               13787.215721112592                 2.5946664184329946                 
0.01291656935124349                13400.273371653398                 2.5726011522369108                 
0.013065035154635564               13036.521799651277                 2.5182938687227                    
0.01321350094050805                12668.760263688624                 2.4460098576994764                 
0.013361966708661868               12314.144433237088                 2.418161387055595                  
0.013510432458897936               11969.302241371306                 2.3603616339163085                 
0.013658898191017161               11635.152248917826                 2.3313776313893504                 
0.013807363904820477               11302.923421269928                 2.263387051423799                  
0.013955829600108794               10988.123365314948                 2.229694400675394                  
0.014104295276683032               10674.819326019036                 2.1957584159313175                 
0.014252760934344114               10372.861551649188                 2.14399898304269                   
0.014401226572892951               10071.896325929549                 2.094807490331048                  
0.014549692192130467               9777.945098333534                  2.045162979035779                  
0.014698157791857583               9495.528706660247                  2.030570715872417                  
0.01484662337187521                9223.981128474963                  1.983109483431799                  
0.014995088931984278               8952.427335967808                  1.936234683706654                  
0.015143554471985694               8685.873690722703                  1.8980006754183905                 
0.015292019991680388               8431.093722939144                  1.8610314741323062                 
0.01544048549086928                8174.745930620124                  1.8339767236404998                 
