#####################################################################################################
# NeXus source file: References Rack 2 MIC AM Averaged
# NXdata: name = img{1}_azimuthalIntegration_Px_105                
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.00046066252769
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03316188591951
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           9.318324804689204e-07
# GlobalNormalization                               0.7713290194423446
# AbsTimeStamps                                     nan
# TimeStamps                                        4.533208131790161
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR32M_00015{00001}_AzInt_Px_105          Sig(q)PR32M_00015{00001}_AzInt_Px_105        
0.0                                nan                                          nan                                          
0.0001484665654979606              nan                                          nan                                          
0.000296933130796833               nan                                          nan                                          
0.00044539969569752896             nan                                          nan                                          
0.0005938662600009603              nan                                          nan                                          
0.0007423328235080391              nan                                          nan                                          
0.0008907993860196767              nan                                          nan                                          
0.0010392659473367853              277149.57427487813                           423.8598539032026                            
0.0011877325072602765              256542.54712804593                           182.37272112901428                           
0.001336199065591062               235633.57345527882                           108.39570915778813                           
0.0014846656221300543              216639.316292993                             90.88858948655843                            
0.0016331321766781643              200023.71007940324                           69.94923873760038                            
0.0017815987290363052              185833.70861517306                           64.45081933225855                            
0.0019300652790053877              172294.11508904464                           58.62174485645877                            
0.002078531826386324               160372.31305171017                           53.00648906034966                            
0.0022269983709800266              148974.7529832603                            51.088209874640704                           
0.0023754649125874066              139049.7883546453                            45.005995971020454                           
0.002523931451009377               130033.65967989352                           44.27503240907617                            
0.002672397986046849               121693.44705307436                           39.720419255350116                           
0.0028208645175007347              114239.74967448377                           37.37970962558948                            
0.0029693310451719464              107327.7293258929                            36.06154454611728                            
0.0031177975688613966              101313.93516451892                           33.363671663158286                           
0.0032662640883699967              95624.96514896964                            31.877627251358934                           
0.0034147306034986585              90461.83592299791                            30.152137908680363                           
0.0035631971140482953              85988.17390097996                            28.63058257858527                            
0.0037116636198198188              81750.23164235296                            27.416702875695513                           
0.0038601301206141426              77729.05087794617                            25.58065247670418                            
0.004008596616232176               73977.08566666718                            25.2023153516051                             
0.004157063106474833               70705.80368340136                            23.935795014553197                           
0.004305529591143026               67612.42582526451                            22.842253444580248                           
0.004453996070037668               64706.880379851296                           22.27984771522527                            
0.004602462542959671               62016.66454458128                            20.903819271453944                           
0.004750929009709947               59441.551437547925                           20.35489934928292                            
0.004899395470089409               57017.28178753148                            19.52013269066133                            
0.00504786192389897                54694.289032816094                           18.97222500033323                            
0.005196328370939542               52548.75675589877                            18.364788891641805                           
0.005344794811012039               50481.73404627355                            17.48802082091631                            
0.005493261243917372               48504.71818243885                            17.062613272061345                           
0.005641727669456453               46628.12275852792                            16.391290653708825                           
0.005790194087430198               44794.56895116387                            15.99485149048101                            
0.005938660497639517               43073.68157966422                            15.285777061779731                           
0.006087126899885325               41415.13447461914                            15.020055943160907                           
0.0062355932939685355              39869.51278939293                            14.436939310702993                           
0.0063840596796900595              38321.84407004609                            13.876945101200972                           
0.006532526056850811               36848.591039895364                           13.477616961156135                           
0.006680992425251704               35463.39262352331                            13.171879856643708                           
0.00682945878469365                34107.098813018805                           12.869075070578216                           
0.006977925134977566               32836.794563898395                           12.243393314254446                           
0.007126391475904361               31617.957434055414                           12.056547536961391                           
0.007274857807274953               30426.0250264061                             11.54402833712789                            
0.007423324128890251               29287.841565543706                           11.231585959918903                           
0.007571790440551173               28203.965755888912                           11.040153999348696                           
0.007720256742058629               27156.702301835085                           10.62287101328339                            
0.007868723033213537               26163.095974411484                           10.426726454624298                           
0.008017189313816805               25179.2592569235                             10.053121796332004                           
0.00816565558366935                24262.28733156378                            9.704505022990448                            
0.00831412184257209                23351.580887641507                           9.506409397786424                            
0.008462588090325933               22461.72187405381                            9.14771648268356                             
0.008611054326731796               21641.84812783833                            9.084238578726284                            
0.008759520551590594               20832.55098273389                            8.685814571103805                            
0.008907986764703241               20055.963951337333                           8.498678161477857                            
0.00905645296587065                19285.705633122692                           8.25402198934379                             
0.009204919154893739               18560.247017560352                           7.97860356619991                             
0.009353385331573419               17860.21935724597                            7.9001870572705855                           
0.009501851495710607               17175.128205874724                           7.575566077156387                            
0.009650317647106216               16521.308206283153                           7.3919695244656                              
0.009798783785561163               15896.324631793786                           7.195945007044842                            
0.00994724991087636                15266.959275151636                           6.96509794464846                             
0.010095716022852728               14691.94891166206                            6.866415570470796                            
0.010244182121291176               14112.01121857693                            6.576659564952768                            
0.010392648205992623               13540.315769994817                           6.51959302055536                             
0.010541114276757984               13000.592525996613                           6.253513349415704                            
0.010689580333388175               12484.914165996503                           6.058354143185167                            
0.010838046375684111               11976.5106496056                             5.97450216746043                             
0.010986512403446705               11495.998944549412                           5.729631070182384                            
0.01113497841647688                11023.810044940927                           5.6544888947804255                           
0.011283444414575544               10575.25490183672                            5.447606383464757                            
0.011431910397543616               10129.093095075294                           5.2746736862865164                           
0.011580376365182016               9693.365173419857                            5.221174038361574                            
0.011728842317291656               9298.414738691115                            4.990719390633055                            
0.011877308253673455               8898.298112325116                            4.877126422800565                            
0.012025774174128331               8509.750943928158                            4.72581143206984                             
0.012174240078457193               8153.524202235421                            4.602606848237534                            
0.012322705966460968               7780.9133297057415                           4.518906091789762                            
0.012471171837940569               7439.5980846950615                           4.315105232751547                            
0.01261963769269691                7110.3097531573385                           4.239036390750221                            
0.012768103530530912               6789.111086483686                            4.07521121570712                             
0.01291656935124349                6462.647582455862                            3.998722139974117                            
