#####################################################################################################
# NeXus source file: Cycling 7 MIC AM PR32 Assembly-Disassembly
# NXdata: name = img{0}_azimuthalIntegration_Px_387                
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.000468596696937
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331612028394122
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.0415815893556561e-06
# GlobalNormalization                               0.4310871979814472
# AbsTimeStamps                                     nan
# TimeStamps                                        0.9206089973449707
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR32M_3mM8A2_00853{00000}_AzInt_Px_387   Sig(q)PR32M_3mM8A2_00853{00000}_AzInt_Px_387 
0.0                                nan                                          nan                                          
0.0001484666636574306              nan                                          nan                                          
0.0002969333271157728              nan                                          nan                                          
0.0004453999901759384              nan                                          nan                                          
0.000593866652638839               nan                                          nan                                          
0.0007423333143053864              nan                                          nan                                          
0.000890799974976492               nan                                          nan                                          
0.001039266634453068               160667.0375698952                            431.68389030335015                           
0.0011877332925360254              134306.71006631735                           176.5087766665716                            
0.0013361999490262763              111729.589792884                             99.84236988567193                            
0.0014846666037247325              96699.70233822677                            81.22515833808346                            
0.0016331332564323052              85395.68163134829                            61.13606477880801                            
0.0017815999069499073              77039.5080394858                             55.50859293071505                            
0.0019300665550784496              69850.37990066309                            49.928115913957235                           
0.002078533200618844               63999.761385550635                           44.79100351775233                            
0.0022269998433720028              58870.58714547818                            42.95866776543283                            
0.0023754664831388372              54576.73374962878                            37.716054440700574                           
0.0025239331197202592              50992.9879312982                             37.08715314858831                            
0.0026723997529171815              47588.08899470025                            33.22512569046606                            
0.002820866382530514               44618.77265027797                            31.24808335531675                            
0.002969333008361171               42006.13153339409                            30.177410452651493                           
0.003117799630210064               39779.02192375107                            27.964275324936146                           
0.0032662662478781033              37620.28157445137                            26.745371615685958                           
0.003414732861166202               35638.75345467886                            25.315350064578                              
0.0035631994698752723              33840.17526770786                            24.025055333636033                           
0.003711666073806226               32229.383045001785                           23.02682169816437                            
0.003860132672759977               30785.335139669565                           21.5342202585427                             
0.004008599266537434               29259.768303591492                           21.201400320889974                           
0.004157065854939512               27994.84887243182                            20.14636331455058                            
0.004305532437767121               26803.56876278418                            19.237971212589112                           
0.0044539990148211766              25673.14451915773                            18.772140338279396                           
0.004602465585902588               24604.69722044913                            17.612366924895365                           
0.004750932150812268               23571.444615526118                           17.14566222309215                            
0.004899398709351132               22673.89773419996                            16.46568774883755                            
0.005047865261320088               21820.993251623484                           16.0295675475638                             
0.005196331806520052               20966.135650834214                           15.516765108421076                           
0.005344798344751936               20179.062038692504                           14.78976555849433                            
0.00549326487581665                19454.18494877786                            14.454309424780334                           
0.005641731399515109               18773.034618858837                           13.912132295614507                           
0.005790197915648227               18096.315406949278                           13.598777948463459                           
0.005938664424016914               17509.51544534059                            13.0363454728495                             
0.006087130924422084               16944.188497785046                           12.851081326656058                           
0.0062355974166646505              16426.077331152508                           12.395352182969274                           
0.006384063900545526               15929.841846738636                           11.967782149998628                           
0.006532530375865622               15560.542750019866                           11.715270190308761                           
0.0066809968424258554              15377.698555811792                           11.60220580484931                            
0.006829463300027135               15549.200719403096                           11.622946856113304                           
0.006977929748470379               15268.74589762968                            11.167613620446696                           
0.007126396187556496               14623.01989363416                            10.967606635043202                           
0.007274862617086402               14470.46052539814                            10.649107817522674                           
0.007423329036861009               15058.129069114946                           10.772591269582898                           
