#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3756871223449707
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_79
# img{1}_AzInt_Px_80
# img{2}_AzInt_Px_81
# img{3}_AzInt_Px_82
# img{4}_AzInt_Px_83
#
#####################################################################################################
q(A-1)                             I(q)Ave_116_air_00010AzInt_Px      Sig(q)Ave_116_air_00010AzInt_Px    
0.0                                nan                                nan                                
0.0001484665654979606              nan                                nan                                
0.000296933130796833               nan                                nan                                
0.00044539969569752885             nan                                nan                                
0.0005938662600009603              nan                                nan                                
0.0007423328235080391              nan                                nan                                
0.0008907993860196767              nan                                nan                                
0.0010392659473367853              10371.670850772649                 32.05426320382539                  
0.0011877325072602765              5890.995893310499                  10.80364060086752                  
0.001336199065591062               3852.3852894309275                 5.41818893479971                   
0.0014846656221300543              2790.54995981298                   4.032565998200868                  
0.0016331321766781647              2193.9443301446017                 2.8638523397291165                 
0.0017815987290363056              1671.9636922273469                 2.389876072737332                  
0.0019300652790053877              1304.5348400636165                 1.9941004558677953                 
0.0020785318263863237              1017.2489104386987                 1.650339128652061                  
0.0022269983709800266              818.8118400429087                  1.480648344658771                  
0.0023754649125874066              664.6743048389337                  1.2164243973200795                 
0.002523931451009377               556.5444416622855                  1.1323393392351089                 
0.002672397986046849               466.01696832029575                 0.9608965903001812                 
0.002820864517500735               391.75824373361144                 0.8557203743775478                 
0.0029693310451719464              336.61635977714485                 0.7894987782514644                 
0.0031177975688613966              294.19498391587547                 0.7028329992378647                 
0.0032662640883699967              257.39444156649193                 0.6465402021155499                 
0.0034147306034986585              227.78088021985997                 0.5914791137774998                 
0.0035631971140482953              201.49855585372137                 0.54180380494507                   
0.0037116636198198188              180.69232929660035                 0.5038904895959213                 
0.0038601301206141426              161.17274276527206                 0.4553665940470646                 
0.004008596616232176               145.23360572630907                 0.4365367555125905                 
0.004157063106474832               131.16377901498862                 0.40301659364005005                
0.004305529591143026               119.6344117672382                  0.3756205991028809                 
0.004453996070037668               107.40198191267025                 0.354844866626104                  
0.004602462542959671               97.17346702198854                  0.32347519193846497                
0.0047509290097099465              88.48031756663363                  0.30700320538154774                
0.004899395470089409               79.74060735896262                  0.28537455195555445                
0.00504786192389897                72.67770822529538                  0.2703605204568377                 
0.005196328370939541               65.99334602332176                  0.25441970576450024                
0.005344794811012039               60.08838364319566                  0.23586574417973094                
0.0054932612439173726              55.6812483252741                   0.22599765311132133                
0.005641727669456453               50.50219303146226                  0.21088213181378374                
0.005790194087430197               46.837484111367054                 0.20219023398439565                
0.005938660497639517               43.43969599664287                  0.1897672120346192                 
0.006087126899885323               39.46289022719957                  0.18125142827170182                
0.0062355932939685355              36.16837257676703                  0.16998639771318516                
0.0063840596796900595              32.99953673332557                  0.15919160308928282                
0.006532526056850811               30.23868747309474                  0.15093143646260404                
0.006680992425251704               27.69128714585646                  0.14388823521327346                
0.00682945878469365                25.978876132414456                 0.13884509748426596                
0.006977925134977566               24.093192353535677                 0.12964765367751863                
0.007126391475904363               22.214471882135047                 0.12493060379411355                
0.007274857807274953               20.41744751789809                  0.11690422666970837                
0.007423324128890249               18.71314440899805                  0.11098544317459462                
0.007571790440551173               17.61715796039792                  0.10786577743841082                
0.007720256742058629               16.29428973475223                  0.10172216943876249                
0.007868723033213537               15.424390429795213                 0.0989699237386426                 
0.008017189313816805               14.009012995406119                 0.09269974666823541                
0.00816565558366935                13.083138517860197                 0.08809645874907818                
0.008314121842572091               12.326168513198457                 0.08538250018123902                
0.008462588090325933               11.634533056286795                 0.0813882444165551                 
0.008611054326731796               11.028904245622446                 0.08016835861707003                
0.008759520551590594               10.13892792883055                  0.07490819705289858                
0.008907986764703241               9.719937261523908                  0.07314015217089362                
0.009056452965870649               9.088074957488624                  0.07004518419317049                
0.009204919154893739               8.467763005885029                  0.0666216304762598                 
0.009353385331573419               8.09561339620828                   0.06575284174077888                
0.009501851495710607               7.682203029358644                  0.06263313660390421                
0.009650317647106216               7.414251996567819                  0.06121630779477738                
0.009798783785561161               6.989347573690189                  0.0589865679106165                 
0.009947249910876362               6.68933406691508                   0.056995048064415535               
0.010095716022852726               6.395103221829999                  0.056002679480608955               
0.010244182121291178               6.207153363679561                  0.05392023859986935                
0.010392648205992625               5.858506572902958                  0.05301436530744934                
0.010541114276757984               5.6837353535386415                 0.05111570948607759                
0.010689580333388174               5.378307364459705                  0.04915644265574852                
0.010838046375684111               5.206958035129424                  0.04869933293984061                
0.010986512403446703               5.064529963507554                  0.0470128539101541                 
0.01113497841647688                4.823424975585742                  0.04623823098009873                
0.011283444414575544               4.612761230875648                  0.04447701382501157                
0.011431910397543614               4.501652888627769                  0.04347040093451313                
0.011580376365182016               4.273377915607811                  0.042856097851292754               
0.011728842317291654               4.1059207800915845                 0.04099776132525247                
0.011877308253673455               4.012898716679016                  0.04048891791000129                
0.012025774174128331               3.784997744822629                  0.03896266833903583                
0.012174240078457193               3.7104835137934558                 0.03838317503682788                
0.012322705966460968               3.662643394858656                  0.03832760920005824                
0.01247117183794057                3.5342372949746603                 0.036767132723261035               
0.01261963769269691                3.423456451669143                  0.03636218538172467                
0.012768103530530912               3.3117904221035976                 0.035186051876968                  
0.01291656935124349                3.2654026958032345                 0.03513827791725743                
0.013065035154635564               3.12838080104555                   0.034133436323039876               
0.01321350094050805                3.0410216732191433                 0.03315856606344002                
0.013361966708661868               2.9567089001726545                 0.03278560679474178                
0.013510432458897936               2.933484970311007                  0.032331900185894706               
0.013658898191017161               2.7630836354778285                 0.031435235680439516               
0.013807363904820477               2.716238247117816                  0.030700291205027964               
0.013955829600108794               2.614502799186411                  0.03009353511694269                
0.014104295276683032               2.5898817477118152                 0.029925338311241896               
0.014252760934344114               2.494637346352229                  0.029092107291579745               
0.014401226572892951               2.503008502969121                  0.028894551393059836               
0.014549692192130467               2.4037710933409024                 0.02805725123841723                
0.014698157791857583               2.279839173002762                  0.027529955829885943               
0.01484662337187521                2.2708466424964433                 0.027225561660540697               
0.014995088931984278               2.268596750557013                  0.026968912686348358               
0.015143554471985694               2.123237501779323                  0.025964678988262276               
0.015292019991680388               2.1454758352785914                 0.02597573310018403                
0.01544048549086928                2.1041613386146794                 0.025744878604473935               
