#####################################################################################################
# NeXus source file: Cycling 9 MIC AM PR8 50 mM 8A2 P1
# NXdata: name = img{0}_azimuthalIntegration_Px_333                
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.000468596696937
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331612028394122
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.0778130664064359e-06
# GlobalNormalization                               0.44608259160223107
# AbsTimeStamps                                     nan
# TimeStamps                                        0.9163818359375
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR8_50mM8A2_01280{00000}_AzInt_Px_333    Sig(q)PR8_50mM8A2_01280{00000}_AzInt_Px_333  
0.0                                nan                                          nan                                          
0.0001484666636574306              nan                                          nan                                          
0.0002969333271157728              nan                                          nan                                          
0.0004453999901759384              nan                                          nan                                          
0.000593866652638839               nan                                          nan                                          
0.0007423333143053864              nan                                          nan                                          
0.000890799974976492               nan                                          nan                                          
0.001039266634453068               33511.73288593125                            193.8098372827359                            
0.0011877332925360254              25664.979693355934                           75.85126661257347                            
0.0013361999490262763              21528.439833022832                           43.08359978371743                            
0.0014846666037247325              18600.487531103146                           35.019914952545996                           
0.0016331332564323052              16528.838720607404                           26.440862768515395                           
0.0017815999069499073              14751.136020315904                           23.877625006237807                           
0.0019300665550784496              13282.709574678855                           21.40321703337593                            
0.002078533200618844               12084.693095675919                           19.133497031000978                           
0.0022269998433720028              11024.290848824026                           18.274768219228648                           
0.0023754664831388372              10214.062900603429                           16.03971594095173                            
0.0025239331197202592              9430.678603453407                            15.678866601432278                           
0.0026723997529171815              8746.701179528432                            14.002789818414648                           
0.002820866382530514               8158.4672875072965                           13.135414687571096                           
0.002969333008361171               7631.23278039511                             12.644390559975264                           
0.003117799630210064               7180.477491964717                            11.67960369853695                            
0.0032662662478781033              6759.575985035977                            11.144799717119314                           
0.003414732861166202               6374.391814945873                            10.52487598704768                            
0.0035631994698752723              6071.023429500182                            10.003546022161162                           
0.003711666073806226               5781.427917890962                            9.58739200645724                             
0.003860132672759977               5519.131540171703                            8.963291192520176                            
0.004008599266537434               5258.287841526301                            8.835399845019193                            
0.004157065854939512               5037.691712999656                            8.401335276826527                            
0.004305532437767121               4828.11872741928                             8.02651192755242                             
0.0044539990148211766              4629.960675169491                            7.836783263768095                            
0.004602465585902588               4444.564851846505                            7.358651934199978                            
0.004750932150812268               4264.656084079362                            7.16932215700465                             
0.004899398709351132               4106.161918691844                            6.888263377435694                            
0.005047865261320088               3944.96109350887                             6.700093077207475                            
0.005196331806520052               3795.454125356503                            6.490061149795383                            
0.005344798344751936               3652.7895142521047                           6.185831004969238                            
0.00549326487581665                3527.6270955277164                           6.050720435199482                            
0.005641731399515109               3394.30356818243                             5.8153615945998265                           
0.005790197915648227               3284.5644324071704                           5.69532644348396                             
0.005938664424016914               3180.485807381811                            5.461858610286631                            
0.006087130924422084               3065.1753918276004                           5.373186009949414                            
0.0062355974166646505              2979.5447945100764                           5.189694867861788                            
0.006384063900545526               2889.2392663673622                           5.010425657187878                            
0.006532530375865622               2802.2788030950583                           4.8873172903002615                           
0.0066809968424258554              2725.238484787629                            4.8014462904431054                           
0.006829463300027135               2632.786945704446                            4.701592667966077                            
0.006977929748470379               2561.8214393726253                           4.4968463545846                              
0.007126396187556496               2499.5343272118507                           4.457566267475232                            
0.007274862617086402               2419.104846986675                            4.280301080439795                            
0.007423329036861009               2368.404511263538                            4.199886362514519                            
