#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3988909721374512
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_84
# img{1}_AzInt_Px_85
# img{2}_AzInt_Px_86
# img{3}_AzInt_Px_87
# img{4}_AzInt_Px_88
#
#####################################################################################################
q(A-1)                             I(q)Ave_117_water0p05_00011AzInt_Px          Sig(q)Ave_117_water0p05_00011AzInt_Px        
0.0                                nan                                          nan                                          
0.0001484665654979606              nan                                          nan                                          
0.000296933130796833               nan                                          nan                                          
0.00044539969569752885             nan                                          nan                                          
0.0005938662600009603              nan                                          nan                                          
0.0007423328235080391              nan                                          nan                                          
0.0008907993860196767              nan                                          nan                                          
0.0010392659473367853              16899.908228034143                           47.581418161621556                           
0.0011877325072602765              11192.959508055528                           17.317377791586544                           
0.001336199065591062               8019.094346659054                            9.09045030033296                             
0.0014846656221300543              5453.70567503691                             6.555656101285834                            
0.0016331321766781647              4101.191446898674                            4.55330390405565                             
0.0017815987290363056              3018.5951665262364                           3.734201939199315                            
0.0019300652790053877              2305.792223948727                            3.0829220108715476                           
0.0020785318263863237              1764.2625382999981                           2.527408037413163                            
0.0022269983709800266              1390.5905888152206                           2.243849030477946                            
0.0023754649125874066              1117.0102542583588                           1.8337637740702846                           
0.002523931451009377               915.2350602168619                            1.6886001184026245                           
0.002672397986046849               758.6678718574607                            1.4257252702060146                           
0.002820864517500735               620.2709368792632                            1.2521253239602954                           
0.0029693310451719464              523.7892525740137                            1.1452375294494777                           
0.0031177975688613966              445.96941908218935                           1.0062854102104344                           
0.0032662640883699967              383.5700570693965                            0.9178079273381258                           
0.0034147306034986585              334.46613771546714                           0.8334715385078588                           
0.0035631971140482953              292.37942691320507                           0.7589512325561608                           
0.0037116636198198188              258.8119099190277                            0.7012818862694649                           
0.0038601301206141426              226.03794201805354                           0.6271047666085244                           
0.004008596616232176               202.30214468801495                           0.599130599972405                            
0.004157063106474832               179.1172563641207                            0.5476697024851783                           
0.004305529591143026               162.9110471443893                            0.509719744091385                            
0.004453996070037668               145.1890487393402                            0.4797706165759187                           
0.004602462542959671               130.43923038598865                           0.4358180659365368                           
0.0047509290097099465              118.3397089280028                            0.41287528731198286                          
0.004899395470089409               107.051823821266                             0.38450934932424363                          
0.00504786192389897                96.83011277057786                            0.36289647298602357                          
0.005196328370939541               87.75210370409614                            0.34116398356533456                          
0.005344794811012039               79.1578376622151                             0.3148107891449542                           
0.0054932612439173726              72.91521254755466                            0.3007408193685058                           
0.005641727669456453               66.29781906375585                            0.2809760068560126                           
0.005790194087430197               61.04661173985532                            0.2684282463412767                           
0.005938660497639517               56.424264845168544                           0.25150343532157954                          
0.006087126899885323               51.46943719786085                            0.2407112647680906                           
0.0062355932939685355              46.88457105153962                            0.22506097678709525                          
0.0063840596796900595              42.99637053631873                            0.21130802825127018                          
0.006532526056850811               39.012652316112145                           0.19935840305044703                          
0.006680992425251704               36.0622940177592                             0.19094754401638706                          
0.00682945878469365                33.06374495535191                            0.18215077756912484                          
0.006977925134977566               30.959035561576577                           0.17090104100044506                          
0.007126391475904363               28.152687295568466                           0.16354859183557544                          
0.007274857807274953               26.170156231355584                           0.15391018272653031                          
0.007423324128890249               24.152944913537326                           0.1466267768023966                           
0.007571790440551173               22.304949406180864                           0.14113950812244055                          
0.007720256742058629               20.99564232907793                            0.13427610082505415                          
0.007868723033213537               19.60695667314411                            0.12975924728536353                          
0.008017189313816805               18.206895017272544                           0.12289341855512007                          
0.00816565558366935                17.378432761523666                           0.1180704961882181                           
0.008314121842572091               16.044528985080348                           0.11327936027215293                          
0.008462588090325933               15.140384996879158                           0.10796675526705438                          
0.008611054326731796               14.387758728599938                           0.10647965872392666                          
0.008759520551590594               13.510313374219095                           0.10055481370061219                          
0.008907986764703241               12.413398316983908                           0.0961182363113573                           
0.009056452965870649               11.860493789755731                           0.09305284395167647                          
0.009204919154893739               11.241014263063688                           0.08926222444381735                          
0.009353385331573419               10.675998330753181                           0.08780663133201741                          
0.009501851495710607               9.962425099590591                            0.08294250718794464                          
0.009650317647106216               9.454878668869302                            0.08038923169092811                          
0.009798783785561161               9.140546005852466                            0.07844302663014698                          
0.009947249910876362               8.685402741577372                            0.07552240430554344                          
0.010095716022852726               8.549225377916045                            0.07529802210738043                          
0.010244182121291178               8.127906857340262                            0.07175160986783737                          
0.010392648205992625               7.727207899258147                            0.07080249972834275                          
0.010541114276757984               7.378296312526267                            0.06772501840393934                          
0.010689580333388174               6.91392948356466                             0.06481177559993513                          
0.010838046375684111               6.860839105318332                            0.06500611917047963                          
0.010986512403446703               6.554863622498724                            0.06219641893322797                          
0.01113497841647688                6.229509072914448                            0.06110594492238861                          
0.011283444414575544               6.0301859268506135                           0.05913653883162647                          
0.011431910397543614               5.6985492829055815                           0.056874708657655385                         
0.011580376365182016               5.483523414752151                            0.05645323788910841                          
0.011728842317291654               5.3425409407060025                           0.05438283048829601                          
0.011877308253673455               5.227156241036288                            0.05373708659192418                          
0.012025774174128331               5.043500569159091                            0.052301489511667985                         
0.012174240078457193               4.837301809371492                            0.05096417504013044                          
0.012322705966460968               4.7093756729442156                           0.05053922048496341                          
0.01247117183794057                4.471059961574946                            0.0480898278417832                           
0.01261963769269691                4.502009406405229                            0.04849007660774503                          
0.012768103530530912               4.316753623445099                            0.046714732264649464                         
0.01291656935124349                4.180489994182769                            0.04623350833559749                          
0.013065035154635564               4.000945564770724                            0.04488933126423325                          
0.01321350094050805                3.802343922852561                            0.04311669370403913                          
0.013361966708661868               3.7908719244218516                           0.04317018069182935                          
0.013510432458897936               3.6465180421380174                           0.04191954964318358                          
0.013658898191017161               3.6088134825730633                           0.04177696806450191                          
0.013807363904820477               3.485885120293589                            0.040443431383589745                         
0.013955829600108794               3.4124065294124777                           0.0399803041045894                           
0.014104295276683032               3.278751867385141                            0.039155042713176276                         
0.014252760934344114               3.1803230759108985                           0.03819812717249251                          
0.014401226572892951               3.1524336882019584                           0.03770843802317703                          
0.014549692192130467               3.1296843779381462                           0.037229148441533674                         
0.014698157791857583               3.0052284157873124                           0.0367558853317341                           
0.01484662337187521                2.9530473612742063                           0.03610417817459977                          
0.014995088931984278               2.888259404808481                            0.03538620478682073                          
