#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_33                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.328263000081247e-06
# GlobalNormalization                               30.861805908765017
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3563969135284424
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)13_00202{00000}_AzInt_Px_33    Sig(q)13_00202{00000}_AzInt_Px_33  
0.0                                nan                                nan                                
0.00014863910320409943             nan                                nan                                
0.0002972782062084175              nan                                nan                                
0.0004459173088131729              nan                                nan                                
0.0005945564108185842              nan                                nan                                
0.0007431955120248703              nan                                nan                                
0.0008918346122322496              nan                                nan                                
0.001040473711240941               nan                                nan                                
0.001189112808851163               9045.83376730761                   8.56019484830949                   
0.0013377519048631344              8826.475641426068                  3.452052488887997                  
0.001486390999077074               8642.956839518034                  2.5520330592923304                 
0.0016350300912932002              8443.757244453924                  2.1719170190012873                 
0.0017836691813117322              8248.439598438727                  2.2044178281298623                 
0.0019323082689328885              8061.80094660452                   2.0362688879297814                 
0.0020809473539568878              7880.315661398804                  1.8575705521420511                 
0.0022295864361839487              7689.966065392803                  1.7873281122465317                 
0.0023782255154142914              7496.808636419753                  1.6249263485223084                 
0.002526864591448133               7311.83945393355                   1.6597913093830416                 
0.0026755036640856928              7127.8366103372755                 1.490224137660936                  
0.00282414273312719                6938.566978084948                  1.4632874415224217                 
0.002972781798372844               6735.019936452768                  1.3958856463074165                 
0.0031214208596228726              6556.982179434354                  1.3251002456899887                 
0.003270059916677496               6383.526433864281                  1.32961781692175                   
0.0034186989693369323              6196.228083675812                  1.2018374503030913                 
0.0035673380174014                 5996.5101295187615                 1.18658590954337                   
0.0037159770606711206              5822.970465841275                  1.1567837817902038                 
0.0038646160989463108              5650.712732390496                  1.108531259319534                  
0.004013255132027191               5472.6970976363245                 1.083681616619285                  
0.00416189415971398                5290.598590498145                  0.9954485976330313                 
0.004310533181806896               5115.155634662856                  0.9932630529566464                 
