#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_28                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3776028731281363e-06
# GlobalNormalization                               32.008203561521334
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3606491088867188
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)8SN_00197{00000}_AzInt_Px_28   Sig(q)8SN_00197{00000}_AzInt_Px_28 
0.0                                nan                                nan                                
0.00014863910320409943             nan                                nan                                
0.0002972782062084175              nan                                nan                                
0.0004459173088131729              nan                                nan                                
0.0005945564108185842              nan                                nan                                
0.0007431955120248703              nan                                nan                                
0.0008918346122322496              nan                                nan                                
0.001040473711240941               nan                                nan                                
0.001189112808851163               396.40621202765755                 1.7595823314542471                 
0.0013377519048631344              337.3080830001898                  0.6626391922374337                 
0.001486390999077074               300.61482140283323                 0.46734794355778403                
0.0016350300912932002              257.2605848631098                  0.3722562541408233                 
0.0017836691813117322              230.50514169810222                 0.36184980402211087                
0.0019323082689328885              211.77659393013812                 0.3240694466345076                 
0.0020809473539568878              197.5739620932635                  0.2888140939216084                 
0.0022295864361839487              186.48388099805973                 0.27330195712998384                
0.0023782255154142914              177.389687133721                   0.2454367942655749                 
0.002526864591448133               171.7303653931841                  0.2497719862205718                 
0.0026755036640856928              166.72052887728617                 0.22379340437018372                
0.00282414273312719                162.0766570206291                  0.2196013500571234                 
0.002972781798372844               158.22958207169782                 0.21008945614395946                
0.0031214208596228726              155.49971181738243                 0.200374081560792                  
0.003270059916677496               152.72693861744747                 0.20194557265470853                
0.0034186989693369323              150.48779606094732                 0.18391311216818293                
0.0035673380174014                 147.82472506677098                 0.18293780281965233                
0.0037159770606711206              145.92499491715333                 0.17981452020543365                
0.0038646160989463108              144.27643944551969                 0.17392982305300958                
0.004013255132027191               142.56329709253433                 0.17174530889559744                
0.00416189415971398                140.60133729350665                 0.15934600384394118                
0.004310533181806896               139.0948406566315                  0.16083122997030105                
