#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_21                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.9589104683430584e-06
# GlobalNormalization                               45.514717087620085
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3574309349060059
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)emptycap_00190{00000}_AzInt_Px_21        Sig(q)emptycap_00190{00000}_AzInt_Px_21      
0.0                                nan                                          nan                                          
0.00014863910320409943             nan                                          nan                                          
0.0002972782062084175              nan                                          nan                                          
0.0004459173088131729              nan                                          nan                                          
0.0005945564108185842              nan                                          nan                                          
0.0007431955120248703              nan                                          nan                                          
0.0008918346122322496              nan                                          nan                                          
0.001040473711240941               nan                                          nan                                          
0.001189112808851163               393.51010339433157                           1.4701851668027672                           
0.0013377519048631344              271.3719507330359                            0.49842629899241714                          
0.001486390999077074               203.98668331583764                           0.32284255539854534                          
0.0016350300912932002              143.6424513821342                            0.23326603481117636                          
0.0017836691813117322              107.14338001581463                           0.20688329802382893                          
0.0019323082689328885              81.77262091512145                            0.16887205689357468                          
0.0020809473539568878              63.98080149314844                            0.137826615800118                            
0.0022295864361839487              50.32946215300534                            0.1190660546897233                           
0.0023782255154142914              39.76545553751823                            0.09745030289199386                          
0.002526864591448133               32.51926254089671                            0.09114760276895714                          
0.0026755036640856928              26.851001557719176                           0.07531608111400684                          
0.00282414273312719                22.26742536886133                            0.06825971955217074                          
0.002972781798372844               18.54326310116255                            0.06031262390331257                          
0.0031214208596228726              15.769494598688782                           0.053510666977691655                         
0.003270059916677496               13.51380892126496                            0.05037558777639416                          
0.0034186989693369323              11.488897446593151                           0.04261435852904735                          
0.0035673380174014                 10.010782126741713                           0.039922584598778815                         
0.0037159770606711206              8.717316178929705                            0.03685581680986784                          
0.0038646160989463108              7.70014697163217                             0.03369617312397084                          
0.004013255132027191               6.7692289158091015                           0.031383786803496745                         
0.00416189415971398                6.075279883346426                            0.027776934988900985                         
