#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_30                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3282395186359282e-06
# GlobalNormalization                               30.861260324187388
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3565359115600586
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)10_00199{00000}_AzInt_Px_30    Sig(q)10_00199{00000}_AzInt_Px_30  
0.0                                nan                                nan                                
0.00014863910320409943             nan                                nan                                
0.0002972782062084175              nan                                nan                                
0.0004459173088131729              nan                                nan                                
0.0005945564108185842              nan                                nan                                
0.0007431955120248703              nan                                nan                                
0.0008918346122322496              nan                                nan                                
0.001040473711240941               nan                                nan                                
0.001189112808851163               1040.268657333678                  2.9029258628522148                 
0.0013377519048631344              977.7563696287826                  1.1489546651071025                 
0.001486390999077074               940.4084065966914                  0.8418160739260211                 
0.0016350300912932002              895.152043253781                   0.7071761435799906                 
0.0017836691813117322              866.2688633982486                  0.7143946715512607                 
0.0019323082689328885              846.1274502572164                  0.6596913985806434                 
0.0020809473539568878              828.2317212840289                  0.602217371910012                  
0.0022295864361839487              813.9909664093303                  0.5815080163154901                 
0.0023782255154142914              801.7095311443068                  0.5313832131100987                 
0.002526864591448133               792.6858834583448                  0.5465055335547104                 
0.0026755036640856928              784.2832182185488                  0.494325512766821                  
0.00282414273312719                776.7376555683359                  0.4895936446558513                 
0.002972781798372844               767.5645207417462                  0.4712394967663603                 
0.0031214208596228726              760.2888487113889                  0.451221600851999                  
0.003270059916677496               755.0486743127094                  0.45728589841738426                
0.0034186989693369323              748.54235853204                    0.4177284595305606                 
0.0035673380174014                 739.338723698412                   0.41665391469002033                
0.0037159770606711206              733.8091463544721                  0.4106532805515895                 
0.0038646160989463108              727.3341918717233                  0.3977106038725008                 
0.004013255132027191               721.4598498399216                  0.393469363475748                  
0.00416189415971398                714.040846681198                   0.3657057595346348                 
0.004310533181806896               707.0585774940735                  0.3692890168716261                 
