#####################################################################################################
# NeXus source file: noemi7
# NXdata: name = img{0}_azimuthalIntegration_Px_5                  
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000505731836514
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331580057586949
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.2868724727374877e-06
# GlobalNormalization                               29.900108999895014
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3981142044067383
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)15_00208{00000}_AzInt_Px_5     Sig(q)15_00208{00000}_AzInt_Px_5   
0.0                                nan                                nan                                
0.0001486390049044326              nan                                nan                                
0.00029727800960908403             nan                                nan                                
0.000445917013914173               nan                                nan                                
0.0005945560176199183              nan                                nan                                
0.0007431950205265388              nan                                nan                                
0.0008918340224342532              nan                                nan                                
0.0010404730231432808              nan                                nan                                
0.0011891120224538396              22964.967765836678                 13.856914940868673                 
0.001337751020166149               22512.276031855115                 5.6010275870287884                 
0.0014863900160804278              21951.601183698556                 4.132020883662642                  
0.0016350290099968942              21354.490261925217                 3.5090878876246947                 
0.0017836680017157683              20776.97953835897                  3.5544589546030414                 
0.001932306991037268               20163.125387029708                 3.2716911393750587                 
0.0020809459777616124              19585.712118141913                 2.9752089778522044                 
0.0022295849616890207              18952.012169341575                 2.8506507983215146                 
0.0023782239426197124              18311.038945539283                 2.5800388378487846                 
0.0025268629203539046              17698.211045388394                 2.6234882875614356                 
0.0026755018946918183              17077.34461939851                  2.3434580242518575                 
0.002824140865433671               16456.713287355586                 2.289499675727743                  
0.0029727798323796835              15790.00931322463                  2.1714302007884516                 
0.003121418795330073               15201.46168792865                  2.0498103871296673                 
0.0032700577540850603              14622.708944892413                 2.044488609979243                  
0.0034186967084448633              14027.736363678678                 1.837173255681338                  
0.0035673356582097003              13400.762193939509                 1.802141688890451                  
0.003715974603179794               12840.031067507756                 1.7451679026410196                 
0.00386461354315536                12304.960912506056                 1.6619223592484387                 
0.00401325247793662                11764.823818919462                 1.614239597414619                  
0.004161891407323792               11214.368759453351                 1.4724078752076981                 
0.004310530331117095               10707.069490077036                 1.459971734053739                  
0.00445916924911675                10212.604446986592                 1.4051056929816133                 
0.004607808161122976               9737.174610154689                  1.3413465382660537                 
0.004756447066935991               9277.287529900063                  1.305685640484867                  
0.004905085966356017               8827.179920388551                  1.2059430431974187                 
0.00505372485918327                8404.587006501084                  1.209961115280573                  
0.005202363745217974               7994.353014791261                  1.123020238812985                  
0.005351002624260346               7606.767534213616                  1.1006628066910864                 
0.005499641496110608               7225.160026843632                  1.0528327092292833                 
0.005648280360568975               6867.559981299179                  1.0036856207964888                 
0.005796919217435672               6531.28409451286                   0.9987140053728936                 
0.0059455580665109175              6197.911633977743                  0.9142411714071521                 
0.00609419690759493                5875.2363565442565                 0.8955576961942746                 
0.006242835740487932               5583.531454872145                  0.869500756861733                  
0.00639147456499014                5306.547816101537                  0.839208249889576                  
0.006540113380901778               5036.132085185009                  0.8064225527100526                 
0.006688752188023065               4773.171145735774                  0.7550722261276157                 
0.0068373909861542195              4525.504040988242                  0.7557437556509081                 
0.006986029775095464               4280.934857220213                  0.710025887972001                  
0.0071346685546470195              4051.243916624367                  0.6882959940383087                 
0.007283307324609103               3824.366937234717                  0.6629753242335477                 
0.00743194608478194                3616.0682125425174                 0.6286684918857064                 
0.007580584834965747               3416.413727354962                  0.623412755780666                  
0.007729223574960747               3227.2280531621836                 0.5798644074082707                 
0.007877862304567157               3047.903507701704                  0.5679645456331215                 
0.008026501023585205               2879.13289912083                   0.5434833424086409                 
0.008175139731815108               2716.3283437885557                 0.5215333704330452                 
0.008323778429057087               2565.643175231966                  0.5162195124006899                 
0.00847241711511136                2419.0754681586413                 0.4780654124258835                 
0.008621055789778157               2277.8814673912843                 0.4652201292968535                 
0.00876969445285769                2144.0007880273315                 0.44879887838276034                
0.008918333104150186               2021.0544384518669                 0.4345220374169004                 
0.009066971743455865               1900.0516774819537                 0.4166836905727713                 
0.009215610370574947               1786.3632138269913                 0.39444243704333276                
0.009364248985307655               1679.4227687231016                 0.390149650160927                  
0.009512887587454211               1576.7893366489993                 0.3672509007486877                 
0.00966152617681484                1480.2116844623383                 0.3549196750094576                 
0.009810164753189759               1388.5342755970005                 0.34244842345086474                
0.00995880331637919                1300.7705211095872                 0.32260915663845835                
0.010107441866183361               1220.674920533025                  0.32395875718480116                
0.010256080402402487               1141.2526437215886                 0.2972443206767339                 
0.010404718924836796               1067.8208817757047                 0.29229785711519657                
0.010553357433286508               998.3222297603892                  0.2757831360313935                 
0.010701995927551847               932.2011120546525                  0.2667978810301762                 
0.010850634407433035               871.6359605051003                  0.2606775164505916                 
0.01099927287273029                813.7827843042608                  0.24430733563745077                
0.011147911323243845               759.7099713382344                  0.23709336723894536                
0.011296549758773915               707.8147803485462                  0.2251469724593426                 
0.011445188179120724               659.7687804871939                  0.2176044088055092                 
0.0115938265840845                 615.068858043446                   0.20965428385538995                
0.011742464973465466               572.9172853103776                  0.1975468209878153                 
0.011891103347063838               533.9023050535687                  0.19409153137077892                
0.012039741704679847               496.8957417412684                  0.18322930270237542                
0.012188380046113712               462.52966115043273                 0.17502054332597702                
0.012337018371165662               430.60189576460374                 0.16937568508241763                
0.01248565667963592                400.9191205032751                  0.1612012929432814                 
0.012634294971324705               373.3850092095631                  0.15725257649527824                
0.012782933246032245               347.7492326124943                  0.1478571488223021                 
0.012931571503558769               324.01369350568376                 0.14367033937932247                
0.013080209743704493               301.87083557538233                 0.13610605564560999                
0.013228847966269644               281.61738872367215                 0.1323133761640726                 
0.013377486171054451               262.58266663998245                 0.12717399161364396                
0.013526124357859137               245.5148501521998                  0.12098253432644619                
0.013674762526483924               229.52264313672137                 0.11708035102827662                
0.013823400676729044               214.66278490742792                 0.11193511912401742                
0.013972038808394713               201.4080465719135                  0.10957773305815986                
0.014120676921281166               188.94869722837126                 0.10384569881141315                
0.014269315015188622               177.67954728952836                 0.09985297232570246                
0.014417953089917307               167.15925479511702                 0.09800972391671366                
0.014566591145267453               157.68907647107153                 0.09375418493272279                
