#Synthesis performed by Rahul Nag.Its pure gold.Edge lenth from TEM is 52nm.DOI-https://pubs.acs.org/doi/10.1021/acs.nanolett.4c04923.It was measured in october 2023 at SWING beam line at SOLEIL cynclotron. 
#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.28889799118042
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_439
# img{1}_AzInt_Px_440
# img{2}_AzInt_Px_441
# img{3}_AzInt_Px_442
# img{4}_AzInt_Px_443
#
#####################################################################################################
q(A-1)                             I(q)Ave_599_RN64_00478AzInt_Px     Sig(q)Ave_599_RN64_00478AzInt_Px   
0.0                                nan                                nan                                
0.00014689338978582289             nan                                nan                                
0.0002937867793788173              nan                                nan                                
0.0004406801685861551              nan                                nan                                
0.0005875735572150078              nan                                nan                                
0.000734466945072547               nan                                nan                                
0.0008813603319659446              155081.21151254186                 125.81889111429594                 
0.0010282537177023717              118549.6658111701                  67.36463785432134                  
0.0011751471020890007              89407.75685832789                  47.766538522435994                 
0.0013220404849330024              67085.7137023221                   29.886693231359505                 
0.0014689338660415494              54518.5387569454                   20.17934039769917                  
0.001615827245221813               43207.832957134306                 15.653488455296676                 
0.0017627206222809652              34724.78833280191                  13.540434199591072                 
0.0019096139970261761              29001.240128006688                 11.873118284495828                 
0.00205650736926462                24324.808607446415                 10.390271699656498                 
0.0022034007388034675              20790.342552789712                 8.758274301541743                  
0.0023502941054498903              17899.282409985386                 7.983537155161812                  
0.00249718746901106                15611.611337390705                 7.169834631858437                  
0.0026440808292941477              13855.644440520744                 6.648206824644848                  
0.0027909741861063277              12433.191073460495                 5.993287324340755                  
0.002937867539254769               11277.746774574456                 5.528390325439409                  
0.0030847608885466466              10256.885931761619                 5.203618950178789                  
0.0032316542337891296              9518.181754880923                  4.753449551565797                  
0.003378547574789392               8849.457453659215                  4.601294825038972                  
0.003525440911354604               8265.291655042758                  4.298288685782242                  
0.0036723342432919393              7791.236730935273                  4.099074077292509                  
0.003819227570408569               7313.659662773677                  3.851284765028489                  
0.003966120892511665               6940.529280422034                  3.7150332888811257                 
0.0041130142094083985              6628.989521463533                  3.518264705897598                  
0.004259907520905947               6321.202024862259                  3.384412082901304                  
0.004406800826811476               6025.3082165286605                 3.2658284157505397                 
0.0045536941269321615              5788.501296741628                  3.1557302347299                    
0.004700587421075174               5583.896522630212                  2.9921183796605564                 
0.004847480709047686               5377.827874840472                  2.9441061390630883                 
0.004994373990656874               5195.88438325779                   2.8206004538150804                 
0.005141267265709907               4999.214148601484                  2.7327553312053867                 
0.005288160534013955               4847.029465567569                  2.639823182326958                  
0.0054350537953761924              4713.588724729681                  2.5791278205673933                 
0.005581947049603794               4581.395989563736                  2.525308442785039                  
0.005728840296503931               4433.766354217902                  2.403694983403979                  
0.005875733535883777               4306.646391196444                  2.3740431392604906                 
0.006022626767550501               4188.833479837969                  2.2742994092997355                 
0.006169519991311281               4080.134010971299                  2.244596654385137                  
0.006316413206973287               3975.601737771097                  2.193653911381067                  
0.0064633064143436916              3863.797587132325                  2.1291874128119295                 
0.006610199613229671               3767.5007338978467                 2.0826335426581672                 
0.006757092803438396               3673.514268008186                  2.01889326894091                   
0.0069039859847770365              3577.253847689854                  1.9850869317612354                 
0.007050879157052775               3482.7512445115326                 1.9177381142074625                 
0.007197772320072774               3397.4074785433704                 1.8779754043656687                 
0.007344665473644211               3315.434014943733                  1.8678878152828324                 
0.007491558617574263               3233.4971999436784                 1.7988819762290895                 
0.007638451751670097               3151.9206045338096                 1.7560732740070943                 
0.0077853448757388925              3064.294851335941                  1.7124482289733165                 
0.007932237989587821               2988.5929316706224                 1.6781042534528439                 
0.008079131093024057               2917.8003361556694                 1.6505098697899956                 
0.008226024185854768               2842.114496284977                  1.6070638253223575                 
0.008372917267887137               2769.341314296574                  1.5793417056356567                 
0.008519810338928333               2691.888655231259                  1.5368912934126269                 
0.008666703398785528               2627.809509952804                  1.509860889309229                  
0.008813596447265907               2559.1432533872116                 1.4673171414511104                 
0.00896048948417663                2491.8346854715464                 1.445907690955987                  
0.009107382509324882               2417.569367726709                  1.4032110764624532                 
0.009254275522517827               2353.5379864014462                 1.3753891518828545                 
0.00940116852356265                2292.830011386936                  1.3522213902503861                 
0.00954806151226652                2229.8411456806753                 1.319840521468661                  
0.009694954488436613               2171.0526697347254                 1.2892368726179702                 
0.009841847451880105               2103.649758118509                  1.264333846209054                  
0.009988740402404167               2043.0454886192085                 1.2338027700745395                 
0.010135633339815977               1986.8620662622543                 1.2182026986679557                 
0.010282526263922707               1927.4353087025297                 1.1743449638496468                 
0.010429419174531539               1867.6327019149837                 1.1586936877325362                 
0.010576312071449642               1811.900201841176                  1.1166443393439462                 
0.010723204954484193               1754.1205931851957                 1.1036674196072382                 
0.010870097823442365               1701.4710854629834                 1.0820818586775682                 
0.01101699067813134                1647.9790202967881                 1.0531688193308946                 
0.01116388351835829                1595.5171131586571                 1.0339998995184485                 
0.011310776343930387               1544.7502107038054                 0.9990054182657324                 
0.01145766915465481                1496.5844871893275                 0.9885351965501904                 
0.01160456195033874                1446.0817076420064                 0.9625214431113409                 
0.011751454730789345               1396.378887962675                  0.9360945755464929                 
0.011898347495813807               1351.0734439937023                 0.922676276817675                  
0.012045240245219295               1304.0816535700321                 0.890153986710527                  
0.012192132978812997               1259.6143163751112                 0.8757152437635867                 
0.012339025696402078               1213.428044554831                  0.8527558006300741                 
0.012485918397793718               1170.800459383862                  0.8271874398005015                 
0.012632811082795107               1127.4851747643713                 0.8220025410004699                 
0.012779703751213404               1089.981936455904                  0.7891426224763498                 
0.012926596402855789               1049.3888300770875                 0.7786791594435803                 
0.013073489037529449               1009.4635151705036                 0.7545251139680358                 
