#DOI-https://pubs.acs.org/doi/10.1021/acs.nanolett.4c04923.Solvent file for truncated tetrahedron ,solvent was 2.5 milimolar CTSE.It was measured in october 2023 at SWING beam line at SOLEIL cynclotron. 
#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.2897300720214844
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_263
# img{1}_AzInt_Px_264
# img{2}_AzInt_Px_265
# img{3}_AzInt_Px_266
# img{4}_AzInt_Px_267
#
#####################################################################################################
q(A-1)                             I(q)Ave_363_CTAC_2p5_00021AzInt_Px           Sig(q)Ave_363_CTAC_2p5_00021AzInt_Px         
0.0                                nan                                          nan                                          
0.00014689337140681732             nan                                          nan                                          
0.00029378674262080663             nan                                          nan                                          
0.00044068011344913967             nan                                          nan                                          
0.0005875734836989888              nan                                          nan                                          
0.0007344668531775259              nan                                          nan                                          
0.0008813602216919227              150032.16682814388                           113.62408561968871                           
0.0010282535890493514              111676.48487576804                           61.999600710808615                           
0.001175146955056984               77143.0837995562                             47.03985050505541                            
0.0013220403195219922              58114.443275159785                           28.86985099469855                            
0.001468933682251548               45862.54622542992                            20.940442823682726                           
0.001615827043052824               35419.95030597285                            14.754962271050365                           
0.001762720401732992               27518.74621830247                            12.779342756044015                           
0.0019096137580992235              21978.55641250223                            10.95815606574239                            
0.0020565071119586914              17831.883858397265                           9.232952290682615                            
0.0022034004631185677              14711.824295413124                           8.109537743083083                            
0.002350293811386024               11973.80496329071                            6.805017055110868                            
0.0024971871565682324              9894.400006120884                            6.117614063991824                            
0.0026440804984723654              8298.423604465712                            5.344485841130628                            
0.002790973836905595               7011.494229094389                            4.705440259971753                            
0.0029378671716750937              5986.764904502157                            4.348017097518195                            
0.003084760502588034               5131.606438029695                            3.852664757236905                            
0.003231653829451588               4473.707181581993                            3.5239620242836844                           
0.0033785471520729263              3909.7143757224767                           3.2298761292342064                           
0.003525440470259224               3427.624896959877                            2.913381958794294                            
0.0036723337838176513              3024.075152024681                            2.717033984294211                            
0.0038192270925553823              2662.690092074169                            2.4475007850373545                           
0.003966120396279587               2377.490789886285                            2.335725962073621                            
0.004113013694797441               2137.5675527982494                           2.111670980032824                            
0.004259906987916115               1897.3195395686885                           1.9542509259210477                           
0.004406800275442781               1696.1890885941289                           1.847766777180506                            
0.004553693557184614               1531.9945721575518                           1.7068588449079534                           
0.004700586832948783               1386.8833323918225                           1.5977456060343285                           
0.004847480102542463               1251.5148542213028                           1.4863086960625647                           
0.0049943733657728286              1137.60837403786                             1.4062803468584901                           
0.005141266622447048               1025.488340711593                            1.3218978276419115                           
0.005288159872372297               935.7750222690399                            1.223981467429756                            
0.005435053115355749               855.5502484549663                            1.1676271556300095                           
0.005581946351204576               788.0865103938396                            1.1004533210694791                           
0.005728839579725948               720.2733040521821                            1.0271254189051786                           
0.0058757328007270435              659.2230156504183                            0.9805472767138106                           
0.006022626014015034               607.5775622064124                            0.9296125382105209                           
0.006169519219397089               559.3205297055651                            0.8810756438803293                           
0.006316412416680385               518.0729076499886                            0.8428822556491218                           
0.006463305605672094               474.9973402722461                            0.7899570882163081                           
0.006610198786179393               439.982479829146                             0.7503255148833016                           
0.006757091958009447               408.45537967663233                           0.712427892583525                            
0.006903985120969438               376.5605037383856                            0.6803732008158307                           
0.007050878274866538               350.78833466822334                           0.6543455580055129                           
0.007197771419507919               325.20751449823234                           0.612887271844808                            
0.0073446645547007505              303.38041048659727                           0.589986584032752                            
0.007491557680252213               283.41939944129797                           0.5692990740279337                           
0.0076384507959694785              263.34999619775                              0.5390116090848036                           
0.0077853439016597175              246.84139475576384                           0.5193521187296833                           
0.00793223699713011                230.97421253122624                           0.49232691893146086                          
0.008079130082187821               216.2300248885853                            0.4770815603357697                           
0.008226023156640037               203.1497578514264                            0.4582413297722175                           
0.008372916220293923               190.64732909572777                           0.43362222898728975                          
0.008519809272956652               178.3707462547134                            0.4200309748406731                           
0.008666702314435403               168.48589039635652                           0.40418132726852746                          
0.008813595344537354               158.2754318993177                            0.3900979223795421                           
0.008960488363069672               149.62386968720207                           0.375632499932317                            
0.009107381369839535               140.6525666100189                            0.35646771393225807                          
0.00925427436465412                132.94474095823176                           0.34839681776128767                          
0.009401167347320593               125.6878990821451                            0.33348829892508525                          
0.009548060317646137               119.02934842382759                           0.3253723704973642                           
0.009694953275437929               112.83247572837024                           0.3135651944144167                           
0.009841846220503138               107.24977575156204                           0.2996997373332572                           
0.00998873915264894                101.17879339580247                           0.2936051391259879                           
0.010135632071682513               96.14256124968215                            0.2807002023246145                           
0.01028252497741103                90.55113399926418                            0.2701731942459038                           
0.01042941786964167                86.4483399417667                             0.26305885893068076                          
0.010576310748181602               82.36780523533398                            0.25529521140818245                          
0.010723203612838008               78.36130267794876                            0.2498728037745344                           
0.010870096463418062               74.1337951707233                             0.2362975498095236                           
0.01101698929972894                70.75279444299231                            0.23084637096667104                          
0.011163882121577812               67.74669205614578                            0.22539701515835237                          
0.011310774928771864               64.90103397223996                            0.21847995274377655                          
0.011457667721118269               61.8285835115671                             0.21324644410444993                          
0.011604560498424196               58.84928722337478                            0.20500130648775258                          
0.011751453260496831               56.21128056499822                            0.1997330948776377                           
0.011898346007143346               53.4438747588287                             0.19375813260855826                          
0.012045238738170922               51.84421441686551                            0.18910800387615356                          
0.012192131453386726               49.45349073010467                            0.18287286736203584                          
0.012339024152597945               47.220644149949386                           0.17887253739641734                          
