<X> <Y> <dY>
8.759520551590594e-03 1.987466890571670e+03 5.440115010164317e-01
8.907986764703241e-03 1.898108281765072e+03 5.301588132314475e-01
9.056452965870650e-03 1.810229050794678e+03 5.127811506347733e-01
9.204919154893739e-03 1.723746074882442e+03 4.930460689696421e-01
9.353385331573419e-03 1.640238421875106e+03 4.854758197214246e-01
9.501851495710607e-03 1.558474732375457e+03 4.627348828017144e-01
9.650317647106216e-03 1.479516282625854e+03 4.485546087048193e-01
9.798783785561163e-03 1.401674470084643e+03 4.332918067595274e-01
9.947249910876360e-03 1.326864751714670e+03 4.163725210310024e-01
1.009571602285273e-02 1.254868932806931e+03 4.069246280839917e-01
1.024418212129118e-02 1.185000041817280e+03 3.864452211014545e-01
1.039264820599262e-02 1.115583918269524e+03 3.794700606994820e-01
1.054111427675798e-02 1.049161052085213e+03 3.602356201026330e-01
1.068958033338818e-02 9.864311068298513e+02 3.453198035399271e-01
1.083804637568411e-02 9.240687147059803e+02 3.365255252164626e-01
1.098651240344671e-02 8.650018647666213e+02 3.187082334953665e-01
1.113497841647688e-02 8.085271580098856e+02 3.105330530644664e-01
1.128344441457554e-02 7.539802798005240e+02 2.949691381422520e-01
1.143191039754362e-02 7.015975663630389e+02 2.815136745235006e-01
1.158037636518202e-02 6.514558485486554e+02 2.744836172676406e-01
1.172884231729166e-02 6.050616441740112e+02 2.581704066182619e-01
1.187730825367346e-02 5.589414251935576e+02 2.478835694442719e-01
1.202577417412833e-02 5.152951298540368e+02 2.358321188159446e-01
1.217424007845719e-02 4.740491813314705e+02 2.250651282349154e-01
1.232270596646097e-02 4.355246061590335e+02 2.168203772686906e-01
1.247117183794057e-02 3.989195743180263e+02 2.026470923481762e-01
1.261963769269691e-02 3.635162570508135e+02 1.943887049562819e-01
1.276810353053091e-02 3.305983579949022e+02 1.823885061465313e-01
1.291656935124349e-02 2.997256541415007e+02 1.746543804908765e-01
1.306503515463557e-02 2.710557401591138e+02 1.648489307194086e-01
1.321350094050805e-02 2.442078755147262e+02 1.541736747170543e-01
1.336196670866187e-02 2.185703738695540e+02 1.462645680713188e-01
1.351043245889793e-02 1.952775860738592e+02 1.368818396825047e-01
1.365889819101716e-02 1.736518153520832e+02 1.293206499466590e-01
1.380736390482048e-02 1.538025227034902e+02 1.198850425791711e-01
1.395582960010879e-02 1.350482780623146e+02 1.122507437174647e-01
1.410429527668303e-02 1.181483550460210e+02 1.049081953192909e-01
1.425276093434411e-02 1.027960809341067e+02 9.694097919344065e-02
1.440122657289295e-02 8.870152891693776e+01 8.930194080420477e-02
1.454969219213047e-02 7.578195260180247e+01 8.179358723600207e-02
1.469815779185758e-02 6.425791066523095e+01 7.590737712374435e-02
1.484662337187521e-02 5.405872537295197e+01 6.900061081355222e-02
1.499508893198428e-02 4.503670925666544e+01 6.243073921851723e-02
1.514355447198570e-02 3.709117984032437e+01 5.640555707344914e-02
1.529201999168039e-02 3.012369570136176e+01 5.061379035186206e-02
1.544048549086928e-02 2.409209411996446e+01 4.532851233798553e-02
1.558895096935328e-02 1.901352988749038e+01 3.979797353844824e-02
